pipeline,fraction,rep,n_used,d_est_sub,d_factor,d_pert,T_log,regime
B_winsor1-99_StandardScaler,0.5,3,10,3.5426461798127673,0.95,3.3655138708221286,-1.4609583027564612,Divergence
B_winsor1-99_StandardScaler,0.5,3,10,3.5426461798127673,1.0,3.5426461798127673,-1.0530960885870013,Divergence
B_winsor1-99_StandardScaler,0.5,3,10,3.5426461798127673,1.05,3.719778488803406,-0.6452338744175414,Divergence
B_winsor1-99_StandardScaler,0.5,3,10,3.5426461798127673,1.1,3.8969107977940443,-0.2373716602480826,Divergence
B_winsor1-99_StandardScaler,0.5,3,10,3.5426461798127673,1.15,4.074043106784682,0.17049055392137522,Saturation
B_winsor1-99_StandardScaler,0.5,3,10,3.5426461798127673,1.2,4.251175415775321,0.5783527680908351,Saturation
B_winsor1-99_StandardScaler,0.5,4,10,3.4663273803461996,0.8,2.7730619042769598,-2.825129369238374,Divergence
B_winsor1-99_StandardScaler,0.5,4,10,3.4663273803461996,0.8500000000000001,2.94637827329427,-2.4260536815672604,Divergence
B_winsor1-99_StandardScaler,0.5,4,10,3.4663273803461996,0.9,3.11969464231158,-2.0269779938961476,Divergence
B_winsor1-99_StandardScaler,0.5,4,10,3.4663273803461996,0.95,3.2930110113288893,-1.627902306225036,Divergence
B_winsor1-99_StandardScaler,0.5,4,10,3.4663273803461996,1.0,3.4663273803461996,-1.228826618553922,Divergence
B_winsor1-99_StandardScaler,0.5,4,10,3.4663273803461996,1.05,3.63964374936351,-0.8297509308828084,Divergence
B_winsor1-99_StandardScaler,0.5,4,10,3.4663273803461996,1.1,3.8129601183808197,-0.4306752432116956,Divergence
B_winsor1-99_StandardScaler,0.5,4,10,3.4663273803461996,1.15,3.986276487398129,-0.03159955554058382,Divergence
B_winsor1-99_StandardScaler,0.5,4,10,3.4663273803461996,1.2,4.159592856415439,0.36747613213052893,Saturation
B_winsor1-99_StandardScaler,0.5,5,10,2.946600635763855,0.8,2.357280508611084,-3.7825014128428784,Divergence
B_winsor1-99_StandardScaler,0.5,5,10,2.946600635763855,0.8500000000000001,2.504610540399277,-3.443261477897047,Divergence
B_winsor1-99_StandardScaler,0.5,5,10,2.946600635763855,0.9,2.6519405721874696,-3.1040215429512155,Divergence
B_winsor1-99_StandardScaler,0.5,5,10,2.946600635763855,0.95,2.7992706039756623,-2.7647816080053844,Divergence
B_winsor1-99_StandardScaler,0.5,5,10,2.946600635763855,1.0,2.946600635763855,-2.425541673059553,Divergence
B_winsor1-99_StandardScaler,0.5,5,10,2.946600635763855,1.05,3.0939306675520477,-2.0863017381137214,Divergence
B_winsor1-99_StandardScaler,0.5,5,10,2.946600635763855,1.1,3.241260699340241,-1.7470618031678888,Divergence
