b,lambda_max,levina_mle,theilsen_slope,theilsen_d_s,n_points_fit,fit_ok
11,0.4,7.905676779529381,1.6201046762533153,3.2402093525066307,59,True
12,0.1,7.877492808755293,0.420245124474822,0.840490248949644,8,True
12,0.2,7.877492808755293,0.75708624424545,1.5141724884909,16,True
12,0.4,7.877492808755293,1.556547185202688,3.113094370405376,58,True
13,0.1,7.958388791426202,0.399003850971061,0.798007701942122,8,True
13,0.2,7.958388791426202,0.8197699397219388,1.6395398794438776,17,True
13,0.4,7.958388791426202,1.524256956398103,3.048513912796206,57,True
14,0.1,7.941229449929716,0.4253544283742009,0.8507088567484018,8,True
14,0.2,7.941229449929716,0.7933159306521053,1.5866318613042105,17,True
14,0.4,7.941229449929716,1.5682991858148445,3.136598371629689,57,True
15,0.1,7.957421497724733,0.42165103372460233,0.8433020674492047,8,True
15,0.2,7.957421497724733,0.7196393795574818,1.4392787591149636,16,True
15,0.4,7.957421497724733,1.7119585194094304,3.423917038818861,59,True
16,0.1,7.980177851665188,0.40687974449618414,0.8137594889923683,8,True
16,0.2,7.980177851665188,0.7491931291895806,1.4983862583791612,16,True
16,0.4,7.980177851665188,1.672156494142132,3.344312988284264,58,True
17,0.1,7.98615991998836,0.40334851362164376,0.8066970272432875,8,True
17,0.2,7.98615991998836,0.7532903444638828,1.5065806889277655,17,True
17,0.4,7.98615991998836,1.566920700364233,3.133841400728466,57,True
18,0.1,7.995052321990249,0.4137082255210826,0.8274164510421652,8,True
18,0.2,7.995052321990249,0.7829780108058134,1.5659560216116268,17,True
18,0.4,7.995052321990249,1.5450543467636981,3.0901086935273963,58,True
19,0.1,7.922971036731622,0.41456661078302026,0.8291332215660405,8,True
19,0.2,7.922971036731622,0.8434904922128825,1.686980984425765,18,True
19,0.4,7.922971036731622,1.668866195771622,3.337732391543244,59,True
20,0.1,7.955622156450095,0.4047362815627634,0.8094725631255268,8,True
20,0.2,7.955622156450095,0.8108224132465787,1.6216448264931573,17,True
20,0.4,7.955622156450095,1.5877017298502318,3.1754034597004637,57,True
21,0.1,7.930485904485899,0.4247834823392434,0.8495669646784868,8,True
21,0.2,7.930485904485899,0.7739317327989306,1.5478634655978611,16,True
21,0.4,7.930485904485899,1.665241360808864,3.330482721617728,58,True
22,0.1,7.95466806370073,0.41175933384737684,0.8235186676947537,8,True
22,0.2,7.95466806370073,0.7558864226357807,1.5117728452715613,16,True
22,0.4,7.95466806370073,1.6310299456250732,3.2620598912501464,58,True
23,0.1,7.869913047815265,0.41145472323736926,0.8229094464747385,8,True
23,0.2,7.869913047815265,0.7590366955676598,1.5180733911353197,16,True
23,0.4,7.869913047815265,1.649457983725655,3.29891596745131,58,True
24,0.1,7.9765567324574675,0.4136081786755187,0.8272163573510374,8,True
24,0.2,7.9765567324574675,0.7726283025782826,1.5452566051565653,17,True
24,0.4,7.9765567324574675,1.6230696706154242,3.2461393412308484,58,True
25,0.1,8.012839157037629,0.4105961522014727,0.8211923044029454,8,True
25,0.2,8.012839157037629,0.7128120981284222,1.4256241962568443,16,True
25,0.4,8.012839157037629,1.6036224323400408,3.2072448646800815,58,True
26,0.1,8.007720764647399,0.41225733299973133,0.8245146659994627,8,True
26,0.2,8.007720764647399,0.7251732927082526,1.4503465854165052,16,True
26,0.4,8.007720764647399,1.6517066529749806,3.3034133059499613,57,True
27,0.1,7.912461066226154,0.40858877423866014,0.8171775484773203,8,True
27,0.2,7.912461066226154,0.7902869059625192,1.5805738119250383,17,True
27,0.4,7.912461066226154,1.6127590129696012,3.2255180259392024,59,True
28,0.1,7.97836414621192,0.4270493176228806,0.8540986352457612,8,True
28,0.2,7.97836414621192,0.7313450479908394,1.4626900959816789,16,True
28,0.4,7.97836414621192,1.610901243875639,3.221802487751278,56,True
29,0.1,7.861878476498112,0.4083807593801825,0.816761518760365,8,True
29,0.2,7.861878476498112,0.7963700319557353,1.5927400639114706,17,True
29,0.4,7.861878476498112,1.6510482001848594,3.302096400369719,60,True
30,0.1,8.064445152894214,0.41175235373660296,0.8235047074732059,8,True
30,0.2,8.064445152894214,0.8009298935652635,1.601859787130527,17,True
30,0.4,8.064445152894214,1.5237653860954037,3.0475307721908074,57,True
31,0.1,7.871167544239357,0.4234026218155247,0.8468052436310494,8,True
31,0.2,7.871167544239357,0.827112930265444,1.654225860530888,17,True
31,0.4,7.871167544239357,1.5435572795965795,3.087114559193159,56,True
32,0.1,7.827397132579647,0.41750314902669833,0.8350062980533967,8,True
32,0.2,7.827397132579647,0.7748401842187211,1.5496803684374423,16,True
32,0.4,7.827397132579647,1.5631722917624091,3.1263445835248183,59,True
33,0.1,7.927625349783027,0.40479642128386545,0.8095928425677309,8,True
33,0.2,7.927625349783027,0.8207504521533738,1.6415009043067477,18,True
33,0.4,7.927625349783027,1.516094534813281,3.032189069626562,57,True
34,0.1,7.90218330938506,0.4225478112057664,0.8450956224115328,8,True
34,0.2,7.90218330938506,0.7552172790041455,1.510434558008291,16,True
34,0.4,7.90218330938506,1.6080116400331006,3.216023280066201,59,True
35,0.1,7.861514236672479,0.4093509032904135,0.818701806580827,8,True
35,0.2,7.861514236672479,0.7820338726839101,1.5640677453678202,17,True
35,0.4,7.861514236672479,1.6294826751929674,3.258965350385935,58,True
36,0.1,7.955752151525118,0.4168973877881698,0.8337947755763396,8,True
36,0.2,7.955752151525118,0.7703922969721386,1.5407845939442772,16,True
36,0.4,7.955752151525118,1.5002348310720033,3.0004696621440066,56,True
37,0.1,7.953332004955717,0.4155266362448351,0.8310532724896702,8,True
37,0.2,7.953332004955717,0.7509913817133878,1.5019827634267755,16,True
37,0.4,7.953332004955717,1.631218022153534,3.262436044307068,58,True
38,0.1,7.977343613546656,0.41020537344335073,0.8204107468867015,8,True
38,0.2,7.977343613546656,0.7301923831307818,1.4603847662615637,15,True
38,0.4,7.977343613546656,1.6382470152357613,3.2764940304715227,57,True
39,0.1,7.968022614497558,0.4096006162650075,0.819201232530015,8,True
39,0.2,7.968022614497558,0.7587829273354274,1.5175658546708548,16,True
39,0.4,7.968022614497558,1.5554806183032115,3.110961236606423,58,True
40,0.1,7.873850168242122,0.4027422166113624,0.8054844332227248,8,True
40,0.2,7.873850168242122,0.8166258075939689,1.6332516151879377,17,True
40,0.4,7.873850168242122,1.5860079130336138,3.1720158260672275,59,True
41,0.1,7.9876144182637745,0.41325915269988217,0.8265183053997643,8,True
41,0.2,7.9876144182637745,0.7780867634804152,1.5561735269608303,17,True
41,0.4,7.9876144182637745,1.5891958100020827,3.1783916200041653,60,True
42,0.1,7.937867736429879,0.4083660377571409,0.8167320755142818,8,True
42,0.2,7.937867736429879,0.787536594613176,1.575073189226352,17,True
42,0.4,7.937867736429879,1.5199873730723008,3.0399747461446016,57,True
43,0.1,7.992511455306,0.4179058639963295,0.835811727992659,8,True
43,0.2,7.992511455306,0.808243474542568,1.616486949085136,17,True
43,0.4,7.992511455306,1.5947647924157557,3.1895295848315115,58,True
44,0.1,7.879946387234554,0.40031917159574754,0.8006383431914951,8,True
44,0.2,7.879946387234554,0.7824548227142017,1.5649096454284035,16,True
44,0.4,7.879946387234554,1.6314524922977827,3.2629049845955653,58,True
45,0.1,7.956613159711417,0.40544941088166675,0.8108988217633335,8,True
45,0.2,7.956613159711417,0.7737396002177485,1.547479200435497,16,True
45,0.4,7.956613159711417,1.6645646352907528,3.3291292705815057,60,True
46,0.1,7.920921171603077,0.4145007972809109,0.8290015945618218,8,True
46,0.2,7.920921171603077,0.7838050207907901,1.5676100415815801,16,True
46,0.4,7.920921171603077,1.5874992315104648,3.1749984630209296,57,True
47,0.1,7.938710249407674,0.42120415351476764,0.8424083070295353,8,True
47,0.2,7.938710249407674,0.7483619977413253,1.4967239954826506,16,True
