series,window_size_months,stride_months,k,d_hat_k,n_windows
S0,264,1,14,8.789630676985007,3002
S0,264,1,15,8.788689163435166,3002
S0,264,1,16,8.863896100491004,3002
S0,264,1,17,8.904549240801789,3002
S0,264,1,18,8.992402490568491,3002
S0,264,1,19,8.908115383403837,3002
S0,264,1,20,8.89380242942814,3002
S0,264,6,5,18.23480799317199,501
S0,264,6,6,14.770826180992733,501
S0,264,6,7,13.030001023601493,501
S0,264,6,8,12.1660992497647,501
S0,264,6,9,11.461874666475532,501
S0,264,6,10,11.028094064250112,501
S0,264,6,11,10.670714909298672,501
S0,264,6,12,10.213615144273197,501
S0,264,6,13,9.849234115750024,501
S0,264,6,14,9.651698297890778,501
S0,264,6,15,9.53894749643532,501
S0,264,6,16,9.373369899516913,501
S0,264,6,17,9.19652629537884,501
S0,264,6,18,9.050301611301391,501
S0,264,6,19,8.889926223460693,501
S0,264,6,20,8.770870001382217,501
S0,264,12,5,13.671392346741454,251
S0,264,12,6,12.590795796310106,251
S0,264,12,7,12.223487145456103,251
S0,264,12,8,11.557918035435637,251
S0,264,12,9,11.098629040941773,251
S0,264,12,10,10.642913947931685,251
S0,264,12,11,10.083056127811911,251
S0,264,12,12,9.709372148886539,251
S0,264,12,13,9.271739241656457,251
S0,264,12,14,8.991493976844543,251
S0,264,12,15,8.713113814901668,251
S0,264,12,16,8.244044914916893,251
S0,264,12,17,8.035452592174469,251
S0,264,12,18,7.840452795939843,251
S0,264,12,19,7.673154077802282,251
S0,264,12,20,7.484747965388221,251
