quadrant,year,kernel,n_eff_global,noise_frac,n_noisy,T_log,Regime
NW,2018,Boxcar_W5,11,0.2,13,0.0,Equilibrium
NW,2018,Boxcar_W5,11,-0.2,9,0.0,Equilibrium
NW,2019,EMA_alpha0.5,3,0.01,3,0.0,Equilibrium
NW,2019,EMA_alpha0.5,3,-0.01,3,0.0,Equilibrium
NW,2019,EMA_alpha0.5,3,0.05,3,0.0,Equilibrium
NW,2019,EMA_alpha0.5,3,-0.05,3,0.0,Equilibrium
NW,2019,EMA_alpha0.5,3,0.1,3,0.0,Equilibrium
NW,2019,EMA_alpha0.5,3,-0.1,3,0.0,Equilibrium
NW,2019,EMA_alpha0.5,3,0.2,4,0.0,Equilibrium
NW,2019,EMA_alpha0.5,3,-0.2,2,0.0,Equilibrium
NW,2019,Boxcar_W5,3,0.01,3,0.0,Equilibrium
NW,2019,Boxcar_W5,3,-0.01,3,0.0,Equilibrium
NW,2019,Boxcar_W5,3,0.05,3,0.0,Equilibrium
NW,2019,Boxcar_W5,3,-0.05,3,0.0,Equilibrium
NW,2019,Boxcar_W5,3,0.1,3,0.0,Equilibrium
NW,2019,Boxcar_W5,3,-0.1,3,0.0,Equilibrium
NW,2019,Boxcar_W5,3,0.2,4,0.0,Equilibrium
NW,2019,Boxcar_W5,3,-0.2,2,0.0,Equilibrium
NW,2020,EMA_alpha0.5,8,0.01,8,0.0,Equilibrium
NW,2020,EMA_alpha0.5,8,-0.01,8,0.0,Equilibrium
NW,2020,EMA_alpha0.5,8,0.05,8,0.0,Equilibrium
NW,2020,EMA_alpha0.5,8,-0.05,8,0.0,Equilibrium
NW,2020,EMA_alpha0.5,8,0.1,9,0.0,Equilibrium
NW,2020,EMA_alpha0.5,8,-0.1,7,0.0,Equilibrium
NW,2020,EMA_alpha0.5,8,0.2,10,0.0,Equilibrium
NW,2020,EMA_alpha0.5,8,-0.2,6,0.0,Equilibrium
NW,2020,Boxcar_W5,8,0.01,8,0.0,Equilibrium
NW,2020,Boxcar_W5,8,-0.01,8,0.0,Equilibrium
NW,2020,Boxcar_W5,8,0.05,8,0.0,Equilibrium
NW,2020,Boxcar_W5,8,-0.05,8,0.0,Equilibrium
NW,2020,Boxcar_W5,8,0.1,9,0.0,Equilibrium
NW,2020,Boxcar_W5,8,-0.1,7,0.0,Equilibrium
NW,2020,Boxcar_W5,8,0.2,10,0.0,Equilibrium
NW,2020,Boxcar_W5,8,-0.2,6,0.0,Equilibrium
NW,2021,EMA_alpha0.5,9,0.01,9,0.0,Equilibrium
NW,2021,EMA_alpha0.5,9,-0.01,9,0.0,Equilibrium
NW,2021,EMA_alpha0.5,9,0.05,9,0.0,Equilibrium
NW,2021,EMA_alpha0.5,9,-0.05,9,0.0,Equilibrium
NW,2021,EMA_alpha0.5,9,0.1,10,0.0,Equilibrium
NW,2021,EMA_alpha0.5,9,-0.1,8,0.0,Equilibrium
NW,2021,EMA_alpha0.5,9,0.2,11,0.0,Equilibrium
NW,2021,EMA_alpha0.5,9,-0.2,7,0.0,Equilibrium
NW,2021,Boxcar_W5,9,0.01,9,0.0,Equilibrium
NW,2021,Boxcar_W5,9,-0.01,9,0.0,Equilibrium
NW,2021,Boxcar_W5,9,0.05,9,0.0,Equilibrium
NW,2021,Boxcar_W5,9,-0.05,9,0.0,Equilibrium
NW,2021,Boxcar_W5,9,0.1,10,0.0,Equilibrium
