d_s,slope,stderr_slope,r,n_fit,b,n_nodes_sub
0.22131509382612935,0.11065754691306467,0.02539055483456351,0.8548143994534265,9,91,2604
0.21282163543040603,0.10641081771520301,0.024748547103727973,0.8516764613365697,9,92,2604
0.22710578870595827,0.11355289435297913,0.02574819120838144,0.8575209967706227,9,93,2604
0.22668612144231368,0.11334306072115684,0.02566036865983219,0.8578763023806979,9,94,2604
0.2298392585938385,0.11491962929691925,0.025941539940551015,0.8585356821912175,9,95,2604
0.21352156425284524,0.10676078212642262,0.02481907219154854,0.8689858416722722,8,96,2604
0.23209423845682411,0.11604711922841206,0.026094101047964214,0.8594138269329238,9,97,2604
0.2281315178234159,0.11406575891170795,0.02584622988657181,0.8576811532601303,9,98,2604
0.22787229287963243,0.11393614643981621,0.025732552451485403,0.858421405062702,9,99,2604
0.22765076292824626,0.11382538146412313,0.02564990370712025,0.8589276323589413,9,100,2604
0.21566976369607607,0.10783488184803804,0.024947907821536296,0.870011072659877,8,101,2604
0.22969436617675112,0.11484718308837556,0.025915407895297598,0.8586208156680774,9,102,2604
0.22159985281343628,0.11079992640671814,0.0253356148152667,0.8556073938461499,9,103,2604
0.2256072747290382,0.1128036373645191,0.025715198731803963,0.8563056387263195,9,104,2604
0.21924410734745828,0.10962205367372914,0.0250876171640746,0.8554122470632178,9,105,2604
0.21432575231729842,0.10716287615864921,0.024879001966127013,0.8692723177048801,8,106,2604
0.21737913429365402,0.10868956714682701,0.024986668668323546,0.8543743095550046,9,107,2604
0.22291657848578453,0.11145828924289226,0.02540462891907992,0.8563405043416286,9,108,2604
0.2255585938130342,0.1127792969065171,0.02560991013959982,0.85719140822648,9,109,2604
0.21512520821329614,0.10756260410664807,0.024997927282772097,0.869050063521197,8,110,2604
0.2278871726145004,0.1139435863072502,0.025801871177776055,0.857827599632828,9,111,2604
0.21494762060111763,0.10747381030055882,0.025119236777271618,0.8678403792105704,8,112,2604
0.20456588418491445,0.10228294209245722,0.0242519323684048,0.8647347390093041,8,113,2604
0.21732942624397625,0.10866471312198812,0.025116804959986555,0.8702052594261563,8,114,2604
0.2224353481730108,0.1112176740865054,0.025351864214327505,0.8563217787908821,9,115,2604
0.21908910247392188,0.10954455123696094,0.02523864382448737,0.8538664425050064,9,116,2604
0.2194826388737133,0.10974131943685665,0.02533311319668986,0.8534168281170362,9,117,2604
0.2210285781613352,0.1105142890806676,0.0252464625398742,0.8558236298150365,9,118,2604
0.2300388372169429,0.11501941860847145,0.02591454911489831,0.8589660790420506,9,119,2604
0.21091230110532874,0.10545615055266437,0.024709635882283712,0.8673015374881021,8,120,2604
0.22512945433269424,0.11256472716634712,0.02554877472497934,0.8573017883806587,9,121,2604
0.21663091926767836,0.10831545963383918,0.02490179611776296,0.8543638291331824,9,122,2604
0.21555560511311803,0.10777780255655901,0.02493744781790067,0.8699877868319941,8,123,2604
0.22932952535295117,0.11466476267647559,0.02583961510247273,0.8589227366586433,9,124,2604
0.22211973841026625,0.11105986920513312,0.025332486595981626,0.8561720656404235,9,125,2604
0.22740723879675823,0.11370361939837911,0.025779578141572345,0.8575455560908367,9,126,2604
0.22746964271486875,0.11373482135743437,0.025725708996567852,0.8580817209535867,9,127,2604
0.20807188580429792,0.10403594290214896,0.024497280911422076,0.8662392745105425,8,128,2604
0.21380029153853683,0.10690014576926841,0.02481010281705261,0.8693399617754431,8,129,2604
0.22505500774631323,0.11252750387315662,0.025409493688799516,0.8584650927314093,9,130,2604
0.22820475071076848,0.11410237535538424,0.025810169710194123,0.8580701167511364,9,131,2604
0.2220783798074815,0.11103918990374075,0.025275975193948995,0.8566393921681945,9,132,2604
0.21765486892527453,0.10882743446263726,0.02500209388198151,0.8545243340858629,9,133,2604
0.23075680987705066,0.11537840493852533,0.02592321520384032,0.8595915047666571,9,134,2604
0.23146212377951278,0.11573106188975639,0.02592967654924454,0.8602194621873487,9,135,2604
0.22192804868405114,0.11096402434202557,0.025402385093559545,0.8553431109879915,9,136,2604
0.22479197001147927,0.11239598500573963,0.025691792092945833,0.8556856993034831,9,137,2604
0.21916174674920352,0.10958087337460176,0.02508494322136981,0.8553504750247857,9,138,2604
0.20911434163105153,0.10455717081552576,0.024573304655746534,0.8666494283013396,8,139,2604
0.22357543625579865,0.11178771812789932,0.02542512273130408,0.8568297030389032,9,140,2604
0.2319469486018,0.1159734743009,0.025978387608426547,0.8602676819747032,9,141,2604
0.2372993480959888,0.1186496740479944,0.02644414981089809,0.8459433919248983,10,142,2604
0.22861878476429598,0.11430939238214799,0.02583295071856454,0.8582805394380718,9,143,2604
0.2135444725746843,0.10677223628734216,0.02487122835921188,0.8685614504230221,8,144,2604
0.22174973612539436,0.11087486806269718,0.025430134913392542,0.8549074550873627,9,145,2604
0.2169634342563141,0.10848171712815705,0.024986354428865806,0.853935081901624,9,146,2604
0.21467477627578307,0.10733738813789154,0.024838458525505768,0.8528526629190528,9,147,2604
0.22856972787384272,0.11428486393692136,0.025624279750553897,0.860056747410998,9,148,2604
0.1865978726844877,0.09329893634224384,0.022829162797494452,0.8577344081636807,8,149,2604
0.2233859268841324,0.1116929634420662,0.025412111349087236,0.8567531286433138,9,150,2604
