W,G,cycle_phase,n_windows_phase,series,k,d_hat_k,n_windows,n_windows_total_from_M1,frac_windows_in_phase
60,1,max,300,S0,14,16.451766691051418,3206,3206,0.09357454772301933
60,1,max,300,S0,15,16.20627850266698,3206,3206,0.09357454772301933
60,1,max,300,S0,16,16.023147516998907,3206,3206,0.09357454772301933
60,1,max,300,S0,17,15.80962994308317,3206,3206,0.09357454772301933
60,1,max,300,S0,18,15.580763957133705,3206,3206,0.09357454772301933
60,1,max,300,S0,19,15.37075079131791,3206,3206,0.09357454772301933
60,1,max,300,S0,20,15.180954575090778,3206,3206,0.09357454772301933
60,1,min,288,S0,5,25.208994499282444,3206,3206,0.08983156581409857
60,1,min,288,S0,6,22.196648446876512,3206,3206,0.08983156581409857
60,1,min,288,S0,7,20.47303158909637,3206,3206,0.08983156581409857
60,1,min,288,S0,8,19.212719305737565,3206,3206,0.08983156581409857
60,1,min,288,S0,9,18.41237784093629,3206,3206,0.08983156581409857
60,1,min,288,S0,10,17.935438558962186,3206,3206,0.08983156581409857
60,1,min,288,S0,11,17.428452251072805,3206,3206,0.08983156581409857
60,1,min,288,S0,12,17.04272818369492,3206,3206,0.08983156581409857
60,1,min,288,S0,13,16.695786913220886,3206,3206,0.08983156581409857
60,1,min,288,S0,14,16.451766691051418,3206,3206,0.08983156581409857
60,1,min,288,S0,15,16.20627850266698,3206,3206,0.08983156581409857
60,1,min,288,S0,16,16.023147516998907,3206,3206,0.08983156581409857
60,1,min,288,S0,17,15.80962994308317,3206,3206,0.08983156581409857
60,1,min,288,S0,18,15.580763957133705,3206,3206,0.08983156581409857
60,1,min,288,S0,19,15.37075079131791,3206,3206,0.08983156581409857
60,1,min,288,S0,20,15.180954575090778,3206,3206,0.08983156581409857
60,1,rising,996,S0,5,25.208994499282444,3206,3206,0.3106674984404242
60,1,rising,996,S0,6,22.196648446876512,3206,3206,0.3106674984404242
60,1,rising,996,S0,7,20.47303158909637,3206,3206,0.3106674984404242
60,1,rising,996,S0,8,19.212719305737565,3206,3206,0.3106674984404242
60,1,rising,996,S0,9,18.41237784093629,3206,3206,0.3106674984404242
60,1,rising,996,S0,10,17.935438558962186,3206,3206,0.3106674984404242
60,1,rising,996,S0,11,17.428452251072805,3206,3206,0.3106674984404242
60,1,rising,996,S0,12,17.04272818369492,3206,3206,0.3106674984404242
60,1,rising,996,S0,13,16.695786913220886,3206,3206,0.3106674984404242
60,1,rising,996,S0,14,16.451766691051418,3206,3206,0.3106674984404242
60,1,rising,996,S0,15,16.20627850266698,3206,3206,0.3106674984404242
60,1,rising,996,S0,16,16.023147516998907,3206,3206,0.3106674984404242
60,1,rising,996,S0,17,15.80962994308317,3206,3206,0.3106674984404242
60,1,rising,996,S0,18,15.580763957133705,3206,3206,0.3106674984404242
60,1,rising,996,S0,19,15.37075079131791,3206,3206,0.3106674984404242
60,1,rising,996,S0,20,15.180954575090778,3206,3206,0.3106674984404242
60,1,unknown,80,S0,5,25.208994499282444,3206,3206,0.024953212726138492
60,1,unknown,80,S0,6,22.196648446876512,3206,3206,0.024953212726138492
60,1,unknown,80,S0,7,20.47303158909637,3206,3206,0.024953212726138492
60,1,unknown,80,S0,8,19.212719305737565,3206,3206,0.024953212726138492
60,1,unknown,80,S0,9,18.41237784093629,3206,3206,0.024953212726138492
60,1,unknown,80,S0,10,17.935438558962186,3206,3206,0.024953212726138492
60,1,unknown,80,S0,11,17.428452251072805,3206,3206,0.024953212726138492
60,1,unknown,80,S0,12,17.04272818369492,3206,3206,0.024953212726138492
60,1,unknown,80,S0,13,16.695786913220886,3206,3206,0.024953212726138492
60,1,unknown,80,S0,14,16.451766691051418,3206,3206,0.024953212726138492
60,1,unknown,80,S0,15,16.20627850266698,3206,3206,0.024953212726138492
60,1,unknown,80,S0,16,16.023147516998907,3206,3206,0.024953212726138492
60,1,unknown,80,S0,17,15.80962994308317,3206,3206,0.024953212726138492
60,1,unknown,80,S0,18,15.580763957133705,3206,3206,0.024953212726138492
60,1,unknown,80,S0,19,15.37075079131791,3206,3206,0.024953212726138492
60,1,unknown,80,S0,20,15.180954575090778,3206,3206,0.024953212726138492
60,6,declining,259,S0,5,18.74910182203012,535,535,0.48411214953271026
60,6,declining,259,S0,6,16.987308478555416,535,535,0.48411214953271026
60,6,declining,259,S0,7,15.018763515383558,535,535,0.48411214953271026
60,6,declining,259,S0,8,14.370763697476606,535,535,0.48411214953271026
60,6,declining,259,S0,9,13.671385533745305,535,535,0.48411214953271026
60,6,declining,259,S0,10,12.963493672220206,535,535,0.48411214953271026
60,6,declining,259,S0,11,12.221863507821208,535,535,0.48411214953271026
60,6,declining,259,S0,12,11.81903466315855,535,535,0.48411214953271026
60,6,declining,259,S0,13,11.3683940387121,535,535,0.48411214953271026
60,6,declining,259,S0,14,11.104173879009188,535,535,0.48411214953271026
60,6,declining,259,S0,15,10.705656881593136,535,535,0.48411214953271026
60,6,declining,259,S0,16,10.391721951376343,535,535,0.48411214953271026
60,6,declining,259,S0,17,10.111192359212318,535,535,0.48411214953271026
60,6,declining,259,S0,18,9.843058190742449,535,535,0.48411214953271026
60,6,declining,259,S0,19,9.661482246399794,535,535,0.48411214953271026
60,6,declining,259,S0,20,9.435199240878028,535,535,0.48411214953271026
60,6,max,50,S0,5,18.74910182203012,535,535,0.09345794392523364
60,6,max,50,S0,6,16.987308478555416,535,535,0.09345794392523364
60,6,max,50,S0,7,15.018763515383558,535,535,0.09345794392523364
60,6,max,50,S0,8,14.370763697476606,535,535,0.09345794392523364
60,6,max,50,S0,9,13.671385533745305,535,535,0.09345794392523364
60,6,max,50,S0,10,12.963493672220206,535,535,0.09345794392523364
60,6,max,50,S0,11,12.221863507821208,535,535,0.09345794392523364
60,6,max,50,S0,12,11.81903466315855,535,535,0.09345794392523364
60,6,max,50,S0,13,11.3683940387121,535,535,0.09345794392523364
60,6,max,50,S0,14,11.104173879009188,535,535,0.09345794392523364
60,6,max,50,S0,15,10.705656881593136,535,535,0.09345794392523364
60,6,max,50,S0,16,10.391721951376343,535,535,0.09345794392523364
60,6,max,50,S0,17,10.111192359212318,535,535,0.09345794392523364
60,6,max,50,S0,18,9.843058190742449,535,535,0.09345794392523364
60,6,max,50,S0,19,9.661482246399794,535,535,0.09345794392523364
60,6,max,50,S0,20,9.435199240878028,535,535,0.09345794392523364
60,6,min,48,S0,5,18.74910182203012,535,535,0.08971962616822429
60,6,min,48,S0,6,16.987308478555416,535,535,0.08971962616822429
60,6,min,48,S0,7,15.018763515383558,535,535,0.08971962616822429
60,6,min,48,S0,8,14.370763697476606,535,535,0.08971962616822429
60,6,min,48,S0,9,13.671385533745305,535,535,0.08971962616822429
60,6,min,48,S0,10,12.963493672220206,535,535,0.08971962616822429
60,6,min,48,S0,11,12.221863507821208,535,535,0.08971962616822429
60,6,min,48,S0,12,11.81903466315855,535,535,0.08971962616822429
60,6,min,48,S0,13,11.3683940387121,535,535,0.08971962616822429
60,6,min,48,S0,14,11.104173879009188,535,535,0.08971962616822429
60,6,min,48,S0,15,10.705656881593136,535,535,0.08971962616822429
60,6,min,48,S0,16,10.391721951376343,535,535,0.08971962616822429
60,6,min,48,S0,17,10.111192359212318,535,535,0.08971962616822429
60,6,min,48,S0,18,9.843058190742449,535,535,0.08971962616822429
60,6,min,48,S0,19,9.661482246399794,535,535,0.08971962616822429
60,6,min,48,S0,20,9.435199240878028,535,535,0.08971962616822429
60,6,rising,165,S0,5,18.74910182203012,535,535,0.308411214953271
60,6,rising,165,S0,6,16.987308478555416,535,535,0.308411214953271
60,6,rising,165,S0,7,15.018763515383558,535,535,0.308411214953271
60,6,rising,165,S0,8,14.370763697476606,535,535,0.308411214953271
60,6,rising,165,S0,9,13.671385533745305,535,535,0.308411214953271
60,6,rising,165,S0,10,12.963493672220206,535,535,0.308411214953271
60,6,rising,165,S0,11,12.221863507821208,535,535,0.308411214953271
60,6,rising,165,S0,12,11.81903466315855,535,535,0.308411214953271
60,6,rising,165,S0,13,11.3683940387121,535,535,0.308411214953271
60,6,rising,165,S0,14,11.104173879009188,535,535,0.308411214953271
60,6,rising,165,S0,15,10.705656881593136,535,535,0.308411214953271
60,6,rising,165,S0,16,10.391721951376343,535,535,0.308411214953271
60,6,rising,165,S0,17,10.111192359212318,535,535,0.308411214953271
60,6,rising,165,S0,18,9.843058190742449,535,535,0.308411214953271
60,6,rising,165,S0,19,9.661482246399794,535,535,0.308411214953271
60,6,rising,165,S0,20,9.435199240878028,535,535,0.308411214953271
60,6,unknown,13,S0,5,18.74910182203012,535,535,0.024299065420560748
60,6,unknown,13,S0,6,16.987308478555416,535,535,0.024299065420560748
60,6,unknown,13,S0,7,15.018763515383558,535,535,0.024299065420560748
60,6,unknown,13,S0,8,14.370763697476606,535,535,0.024299065420560748
60,6,unknown,13,S0,9,13.671385533745305,535,535,0.024299065420560748
60,6,unknown,13,S0,10,12.963493672220206,535,535,0.024299065420560748
60,6,unknown,13,S0,11,12.221863507821208,535,535,0.024299065420560748
60,6,unknown,13,S0,12,11.81903466315855,535,535,0.024299065420560748
60,6,unknown,13,S0,13,11.3683940387121,535,535,0.024299065420560748
60,6,unknown,13,S0,14,11.104173879009188,535,535,0.024299065420560748
60,6,unknown,13,S0,15,10.705656881593136,535,535,0.024299065420560748
60,6,unknown,13,S0,16,10.391721951376343,535,535,0.024299065420560748
60,6,unknown,13,S0,17,10.111192359212318,535,535,0.024299065420560748
60,6,unknown,13,S0,18,9.843058190742449,535,535,0.024299065420560748
60,6,unknown,13,S0,19,9.661482246399794,535,535,0.024299065420560748
60,6,unknown,13,S0,20,9.435199240878028,535,535,0.024299065420560748
60,12,declining,129,S0,5,14.821646324401003,268,268,0.48134328358208955
60,12,declining,129,S0,6,12.678107446728545,268,268,0.48134328358208955
60,12,declining,129,S0,7,11.575423212941732,268,268,0.48134328358208955
60,12,declining,129,S0,8,10.723577270464924,268,268,0.48134328358208955
60,12,declining,129,S0,9,10.211451950002044,268,268,0.48134328358208955
60,12,declining,129,S0,10,9.59093106984587,268,268,0.48134328358208955
60,12,declining,129,S0,11,9.267216658592366,268,268,0.48134328358208955
60,12,declining,129,S0,12,8.966064661886389,268,268,0.48134328358208955
60,12,declining,129,S0,13,8.601746871087403,268,268,0.48134328358208955
60,12,declining,129,S0,14,8.330080902939478,268,268,0.48134328358208955
60,12,declining,129,S0,15,8.135016497542845,268,268,0.48134328358208955
60,12,declining,129,S0,16,7.805196473738768,268,268,0.48134328358208955
60,12,declining,129,S0,17,7.641686664188557,268,268,0.48134328358208955
60,12,declining,129,S0,18,7.421633093842626,268,268,0.48134328358208955
60,12,declining,129,S0,19,7.217596279040916,268,268,0.48134328358208955
60,12,declining,129,S0,20,7.075172398377744,268,268,0.48134328358208955
60,12,max,25,S0,5,14.821646324401003,268,268,0.09328358208955224
60,12,max,25,S0,6,12.678107446728545,268,268,0.09328358208955224
60,12,max,25,S0,7,11.575423212941732,268,268,0.09328358208955224
60,12,max,25,S0,8,10.723577270464924,268,268,0.09328358208955224
60,12,max,25,S0,9,10.211451950002044,268,268,0.09328358208955224
60,12,max,25,S0,10,9.59093106984587,268,268,0.09328358208955224
