lambda,N_lambda
0.5691374847236393,143
0.5709901253054734,144
0.5720305425967106,145
0.5741692838256908,146
0.5748336675440949,147
0.5761724154185462,148
0.5778361957667418,149
0.578970075888083,150
0.5806076012930417,151
0.5814399679576313,152
0.58256283266666,153
0.5839195186929977,154
0.5844847935769449,155
0.5852888930296268,156
0.5860596075323735,157
0.5881202918817816,158
0.5898134776733126,159
0.5911137816236136,160
0.5923770260847803,161
0.5932318589577403,162
0.5950742741049194,163
0.5955144494269509,164
0.5974548197644544,165
0.5983124745580838,166
0.5996736424608308,167
0.6009510308101577,168
0.6027197244567996,169
0.6042058624424871,170
0.6057263141965863,171
0.6069690134537461,172
0.6088841060478115,173
0.6104724455390678,174
0.6108860175847407,175
0.6134005005291385,176
0.6135926863879829,177
0.6147454825190124,178
0.6153979073095753,179
0.6166977276068752,180
0.6188492816456119,181
0.6205899706454844,182
0.6211130096160732,183
0.6218717349426013,184
0.624502752502819,185
0.6254975082410698,186
0.6280282892185094,187
0.6289195844787497,188
0.629705444403627,189
0.6303909800976066,190
0.6315515079469198,191
0.6324303115991358,192
0.6336752151461924,193
0.6351521019480113,194
0.6360983192406924,195
0.6368302631143954,196
0.6376803705309575,197
0.6386574406293645,198
0.640455527585371,199
0.6407207764030513,200
0.6421419029012899,201
0.6426588254094197,202
0.6450104108604147,203
0.6453582813629413,204
0.6468344417324042,205
0.6471609736914293,206
0.6483476644533792,207
0.6490817556054509,208
0.6504141914109551,209
0.6519429893787337,210
0.6528052423836116,211
0.6534884740258348,212
0.6545826471399029,213
0.6557155813249128,214
0.6564594268928392,215
0.657033153705765,216
0.6578175211830076,217
0.6585967785105831,218
0.6605792980606692,219
0.6617382451337764,220
0.662918746192558,221
0.6635100214113975,222
0.6656748683038579,223
0.666781413423757,224
0.6675846781040978,225
0.6687632457831659,226
0.6694598298552326,227
0.670544607700138,228
0.6713511991682702,229
0.6718572713240674,230
0.674397761166594,231
0.6747538170553072,232
0.6754213351914196,233
0.676549572165689,234
0.677807201620461,235
0.6787144251076546,236
0.6800942978219914,237
0.6804568474133529,238
0.6808416878808835,239
0.6820389551845101,240
0.6829034084076308,241
0.6848985407910986,242
0.6852075305474018,243
0.6857779787280943,244
0.686782059464791,245
0.6880902226951512,246
0.6901756241819885,247
0.6909043783854425,248
0.6914158891524371,249
0.6922330727714874,250
0.6931145320515704,251
0.6937752747527929,252
0.6950136880281614,253
0.6962371499240212,254
0.6969056443153597,255
0.6979638911419227,256
0.6987551450055217,257
0.6999376567245911,258
0.7000938804022836,259
0.7014121776391788,260
0.7021940228416885,261
0.7036196136945505,262
0.7047768977523319,263
0.7055479485061795,264
0.7065732616870818,265
0.7076640372568483,266
0.7085521435718339,267
0.7097864144403351,268
0.7106720834262532,269
0.7115868274720619,270
0.7120921352483197,271
0.7130810128027839,272
0.7142341708953264,273
0.715446351887058,274
0.7157773425739463,275
0.7161273990626946,276
0.7177819800678121,277
0.7182431140346105,278
0.7193223281583901,279
0.7200288193605725,280
0.7209954685113406,281
0.7220188028176902,282
0.7222180592341731,283
0.7232011719079796,284
0.7238318815463881,285
0.7248615768268909,286
0.7252864191998436,287
0.726330560923026,288
0.7272313384223943,289
0.7282630647829527,290
0.729189687017891,291
0.729449190055174,292
