b,levina_mle,k,n_lambda_total,n_points_fit,theilsen_slope,theilsen_d_s,fit_ok
16,7.980177851665188,1,16,15,0.812874651388215,1.62574930277643,True
16,7.980177851665188,2,16,14,0.8879859703573006,1.7759719407146013,True
16,7.980177851665188,3,16,13,0.929608023668916,1.859216047337832,True
17,7.98615991998836,0,17,17,0.7532903444798765,1.506580688959753,True
17,7.98615991998836,1,17,16,0.8366518463840494,1.6733036927680989,True
17,7.98615991998836,2,17,15,0.8924696209390256,1.7849392418780512,True
17,7.98615991998836,3,17,14,0.9577661396605905,1.915532279321181,True
18,7.995052321990249,0,17,17,0.7829780108023228,1.5659560216046455,True
18,7.995052321990249,1,17,16,0.8279345304689619,1.6558690609379239,True
18,7.995052321990249,2,17,15,0.8732266145349482,1.7464532290698964,True
18,7.995052321990249,3,17,14,0.903597907711153,1.807195815422306,True
19,7.922971036731622,0,18,18,0.8434904922094228,1.6869809844188457,True
19,7.922971036731622,1,18,17,0.90892787407968,1.81785574815936,True
19,7.922971036731622,2,18,16,0.9488564224189306,1.8977128448378613,True
19,7.922971036731622,3,18,15,0.9823778907594085,1.964755781518817,True
20,7.955622156450095,0,17,17,0.8108224132465155,1.621644826493031,True
20,7.955622156450095,1,17,16,0.8557684029835075,1.711536805967015,True
20,7.955622156450095,2,17,15,0.8935137798193304,1.787027559638661,True
20,7.955622156450095,3,17,14,0.9326582018087438,1.8653164036174876,True
21,7.930485904485899,0,16,16,0.7739317328004849,1.5478634656009698,True
21,7.930485904485899,1,16,15,0.8036938970963406,1.6073877941926813,True
21,7.930485904485899,2,16,14,0.8673941754857105,1.734788350971421,True
21,7.930485904485899,3,16,13,0.9212160336061522,1.8424320672123045,True
22,7.95466806370073,0,16,16,0.7558864226295078,1.5117728452590156,True
22,7.95466806370073,1,16,15,0.8172998248310926,1.6345996496621853,True
22,7.95466806370073,2,16,14,0.8749407721725422,1.7498815443450844,True
22,7.95466806370073,3,16,13,0.8966582212870913,1.7933164425741825,True
23,7.869913047815265,0,16,16,0.7590366955671843,1.5180733911343687,True
23,7.869913047815265,1,16,15,0.8555117279488293,1.7110234558976587,True
23,7.869913047815265,2,16,14,0.8869083496557622,1.7738166993115243,True
23,7.869913047815265,3,16,13,0.9440547630970771,1.8881095261941543,True
