b,d_s_k0,d_s_k1,d_s_k2,d_s_k3,levina_mle,delta_k0_k1,abs_delta_k0_k1,sensitive_k0_k1
47,1.496723995482684,1.5715590851809242,1.6940332154832662,1.7374722746808218,7.938710249407674,0.07483508969824015,0.07483508969824015,False
48,1.5060781594921158,1.6282526876494472,1.7094315042771042,1.7503582092103414,7.954417647928173,0.12217452815733143,0.12217452815733143,False
49,1.6584196241555051,1.7338972502427012,1.8166151335181393,1.8813663294426302,7.99842146196833,0.0754776260871961,0.0754776260871961,False
50,1.4868842738815986,1.576286676006603,1.710491556606253,1.7907922671849439,7.918341991999484,0.08940240212500439,0.08940240212500439,False
51,1.534984266595922,1.6792837891361185,1.828841269064742,1.8600546197472563,7.877699434195957,0.14429952254019662,0.14429952254019662,False
52,1.7138591621599237,1.80876647948774,1.900554720974169,1.980835030802903,7.890868725343124,0.09490731732781632,0.09490731732781632,False
53,1.4769834852029493,1.6299991345916662,1.7375302125442649,1.8272179510533044,7.948769443940886,0.15301564938871692,0.15301564938871692,False
54,1.5008469082878984,1.6609739192294768,1.7532157939978663,1.8055754087806115,7.960678417037432,0.16012701094157844,0.16012701094157844,False
55,1.6207602909823489,1.702781272530829,1.8151327895986806,1.9227817220341636,7.95531831729205,0.08202098154848003,0.08202098154848003,False
56,1.4590669132983498,1.6298280606516908,1.765923506078602,1.8501240628163942,7.923251775769425,0.17076114735334103,0.17076114735334103,False
57,1.6723245828328863,1.7853559164195816,1.8587584269374005,1.913194401774644,7.935703574493408,0.11303133358669526,0.11303133358669526,False
58,1.5367387695364134,1.6849257236059303,1.7640048367586953,1.8862850786483887,7.841810336235854,0.14818695406951687,0.14818695406951687,False
59,1.5142161616561693,1.6378561237724436,1.7286261151082714,1.7756118019048894,7.934618450736899,0.12363996211627426,0.12363996211627426,False
60,1.511504938500346,1.6091883349622556,1.7429619800446552,1.8402614543496416,7.947828299080699,0.09768339646190949,0.09768339646190949,False
61,1.5813148103774146,1.7392775603896942,1.8472361780220639,1.9503326503804037,7.938693274638643,0.15796275001227955,0.15796275001227955,False
62,1.6028768206008686,1.6833153966098315,1.8352323184814257,1.9265009835275178,7.788593264355143,0.08043857600896298,0.08043857600896298,False
63,1.5602284123527337,1.6833985425793336,1.7983141776386886,1.8667837272620054,8.022024970458514,0.12317013022659995,0.12317013022659995,False
64,1.5204353232715777,1.682554298060222,1.7543904350993784,1.795352101031285,8.038525491408322,0.16211897478864423,0.16211897478864423,False
65,1.590383514132794,1.6980216838653834,1.783781815324641,1.848364253820402,7.940395057128586,0.10763816973258944,0.10763816973258944,False
66,1.6713090453601989,1.7723194963605238,1.9144709212968585,1.9791462923675602,7.875755386311846,0.10101045100032491,0.10101045100032491,False
67,1.4077252292753861,1.5209742948238876,1.6587883537864387,1.7453544288244565,7.914944577992495,0.11324906554850145,0.11324906554850145,False
68,1.526758408810007,1.6878374262619433,1.7573187312381902,1.8167794377997346,7.981433914725656,0.1610790174519363,0.1610790174519363,False
69,1.7472804194401093,1.8246552063598074,1.9229944671129224,2.0079877026895763,7.899687007101974,0.07737478691969812,0.07737478691969812,False
70,1.6193347928513244,1.7302371341058496,1.824019998140324,1.875945521437843,7.855492001982073,0.11090234125452514,0.11090234125452514,False
71,1.6351785389625957,1.7756633864852485,1.8898123387094756,1.9966627831793757,8.025147157701117,0.14048484752265278,0.14048484752265278,False
72,1.6837710764045635,1.754804920015795,1.851563274361951,1.9166009931856844,7.986541747162774,0.07103384361123144,0.07103384361123144,False
73,1.4918320236983529,1.6169951862059844,1.6717478269188863,1.7464903083700278,7.90805959976335,0.1251631625076315,0.1251631625076315,False
74,1.5709796516617984,1.6627075289040163,1.7655718378792866,1.811264664243705,7.886875795083735,0.09172787724221787,0.09172787724221787,False
75,1.6364169977950198,1.7148379562247817,1.7970834572665926,1.870539314090941,7.961259392712542,0.07842095842976193,0.07842095842976193,False
76,1.6094582714931602,1.6949980939164906,1.7729424322265284,1.8371508475009446,7.995780979892477,0.08553982242333036,0.08553982242333036,False
77,1.4997447996384967,1.6090162802086792,1.7165198245450222,1.7607458679657544,7.923475163896207,0.10927148057018243,0.10927148057018243,False
78,1.4827713980147934,1.5956615741221067,1.658728975532822,1.7838172993002666,7.888186443369595,0.11289017610731333,0.11289017610731333,False
79,1.4675471222975545,1.5863876754005053,1.6602263098251573,1.7232758887259088,7.869538215499785,0.11884055310295083,0.11884055310295083,False
