b,d_s_k0,d_s_k1,d_s_k2,d_s_k3,levina_mle,d_s_robust
31,1.6542258605296498,1.7229574382449084,1.845252195513351,1.9071850967231996,7.871167544239357,1.654225860530888
32,1.5496803684389235,1.7444026048649826,1.7700064497205852,1.836818387802345,7.827397132579647,1.5496803684374425
33,1.6415009043030364,1.718810156632104,1.808423672334753,1.908971739532708,7.927625349783027,1.6415009043067477
34,1.5104345580101584,1.6359378262878144,1.7365815195509362,1.859412281011358,7.90218330938506,1.510434558008291
35,1.564067745366421,1.6531727504970648,1.732221414825367,1.830704114867252,7.861514236672479,1.5640677453678202
36,1.5407845939444849,1.6780086248179855,1.800527969382119,1.855727813555876,7.955752151525118,1.5407845939442772
37,1.5019827634278828,1.6515071500413978,1.737360289432913,1.8405490481297493,7.953332004955717,1.5019827634267755
38,1.4603847662625766,1.5295534256204375,1.6744575301445908,1.770069201732736,7.977343613546656,1.4603847662615637
39,1.5175658546591604,1.6579897079290573,1.7475464265861953,1.8933270274045944,7.968022614497558,1.5175658546708548
40,1.6332516151857337,1.7600998903565674,1.8625604689834765,1.9691588047785868,7.873850168242122,1.6332516151879377
41,1.5561735269424548,1.638875035094166,1.7366254623889437,1.810298005601905,7.9876144182637745,1.5561735269608303
42,1.5750731892084764,1.6573974722978813,1.7550381666050472,1.835031606496308,7.937867736429879,1.575073189226352
43,1.6164869490859366,1.7043905827097552,1.7889148473185192,1.8449642303563216,7.992511455306,1.616486949085136
44,1.5649096454282063,1.6904222508676243,1.7470854956978998,1.817749583153684,7.879946387234554,1.5649096454284035
45,1.5474792004353135,1.6265548069481202,1.732173284847345,1.8121153520679936,7.956613159711417,1.547479200435497
46,1.5676100415755976,1.7117015813797951,1.8687046982291555,1.9101148641114216,7.920921171603077,1.56761004158158
47,1.496723995482684,1.5715590851809242,1.6940332154832662,1.7374722746808218,7.938710249407674,1.4967239954826506
48,1.5060781594921158,1.6282526876494472,1.7094315042771042,1.7503582092103414,7.954417647928173,1.506078159486549
49,1.6584196241555051,1.7338972502427012,1.8166151335181395,1.8813663294426304,7.99842146196833,1.6584196241557168
50,1.4868842738815986,1.576286676006603,1.710491556606253,1.790792267184944,7.918341991999484,1.486884274079019
51,1.534984266595922,1.6792837891361183,1.828841269064742,1.8600546197472565,7.877699434195957,1.5349842665901363
52,1.7138591621599235,1.80876647948774,1.900554720974169,1.980835030802903,7.890868725343124,1.7138591621453338
53,1.4769834852029493,1.6299991345916662,1.7375302125442649,1.8272179510533044,7.948769443940886,1.4769834852150838
54,1.5008469082878984,1.6609739192294768,1.7532157939978663,1.8055754087806115,7.960678417037432,1.5008469082888511
55,1.6207602909823489,1.702781272530829,1.8151327895986809,1.922781722034164,7.95531831729205,1.6207602909772432
56,1.4590669132983498,1.6298280606516908,1.765923506078602,1.8501240628163944,7.923251775769425,1.4590669133567369
57,1.6723245828328863,1.7853559164195816,1.8587584269374005,1.913194401774644,7.935703574493408,1.6723245828306346
58,1.5367387695364134,1.6849257236059303,1.7640048367586951,1.886285078648389,7.841810336235854,1.5367387695085395
59,1.5142161616561691,1.6378561237724436,1.7286261151082714,1.7756118019048894,7.934618450736899,1.5142161616209102
60,1.511504938500346,1.6091883349622556,1.7429619800446552,1.8402614543496416,7.947828299080699,1.5115049384963255
61,1.5813148103774146,1.7392775603896942,1.847236178022064,1.950332650380404,7.938693274638643,1.581314810397774
62,1.6028768206008686,1.6833153966098315,1.8352323184814257,1.9265009835275175,7.788593264355143,1.6028768206095765
