b,n_points_fit,lambda_max_used,slope_used,d_s_robust,fit_ok,Tlog_npoints_median
59,17,0.2,0.7571080808104551,1.5142161616209102,True,-6.731627423419118
60,16,0.2,0.7557524692481629,1.5115049384963255,True,-6.738969551746882
61,16,0.2,0.790657405198887,1.581314810397774,True,-6.549920914105245
62,17,0.2,0.8014384103047882,1.6028768206095765,True,-6.491529908015005
63,16,0.2,0.7801142061768441,1.5602284123536885,True,-6.607023938569053
64,16,0.2,0.76021766163271,1.52043532326542,True,-6.7147856214770165
65,17,0.2,0.7951917569901085,1.590383513980217,True,-6.525362409545075
66,17,0.2,0.8356545226836665,1.671309045367333,True,-6.306212007997892
67,15,0.2,0.7038626146349788,1.4077252292699576,True,-7.020010214187677
68,16,0.2,0.7633792044070852,1.5267584088141704,True,-6.697662388385137
69,17,0.2,0.873640209720132,1.747280419440264,True,-6.10047771316168
70,17,0.2,0.8096673964255557,1.6193347928511117,True,-6.446960892976581
71,17,0.2,0.8175892694800407,1.6351785389600817,True,-6.404055233139973
72,17,0.2,0.8418855382022591,1.6837710764045182,True,-6.272464202341499
73,16,0.2,0.7459160118613539,1.4918320237227078,True,-6.792244792555844
74,17,0.2,0.785489825840401,1.570979651680802,True,-6.577909042747164
75,17,0.2,0.818208498889964,1.636416997779928,True,-6.400701424483831
76,17,0.2,0.8047291357932126,1.6094582715864252,True,-6.473707008373606
77,16,0.2,0.749872399819387,1.499744799638774,True,-6.770816598145064
78,16,0.2,0.7413856990033726,1.4827713980067452,True,-6.816781421848068
79,16,0.2,0.7337735611483123,1.4675471222966243,True,-6.858009524746498
80,16,0.2,0.7676039182063696,1.5352078364127393,True,-6.674780914277632
81,16,0.2,0.7499876614963857,1.4999753229927717,True,-6.770192329329912
82,16,0.2,0.7508835429582479,1.5017670859164958,True,-6.765340145383994
83,17,0.2,0.8276402328439043,1.6552804656878086,True,-6.34961820642241
84,17,0.2,0.8020590105973571,1.604118021194714,True,-6.488168674520815
85,16,0.2,0.7879021086341377,1.5758042172682754,True,-6.564843876937777
86,16,0.2,0.7609211685317137,1.5218423370634273,True,-6.710975357478368
87,17,0.2,0.8065296917334203,1.6130593834668403,True,-6.463955016621656
88,16,0.2,0.7839149900808067,1.5678299801616131,True,-6.586438511338111
89,17,0.2,0.8578205273439599,1.7156410546879195,True,-6.186158701242012
90,16,0.2,0.8109713221999595,1.621942644399919,True,-6.439898700065389
91,17,0.2,0.820477988284599,1.640955976569198,True,-6.388409642060751
92,17,0.2,0.797640020828994,1.595280041657988,True,-6.512102366782584
93,16,0.2,0.7435150244869548,1.4870300489739097,True,-6.805248781240015
94,16,0.2,0.7383638497824208,1.4767276995648415,True,-6.833148060629068
95,17,0.2,0.8013513805337408,1.6027027610674816,True,-6.492001269992979
96,17,0.2,0.7803237712609471,1.5606475425218942,True,-6.6058889130327545
97,17,0.2,0.8007577391236519,1.6015154782473038,True,-6.495216491472927
98,17,0.2,0.755985611388024,1.511971222776048,True,-6.737706830509408
99,17,0.2,0.783176578050301,1.566353156100602,True,-6.590437825033523
100,16,0.2,0.7728691501700683,1.5457383003401366,True,-6.646263889321344
101,16,0.2,0.7648956051362621,1.5297912102725242,True,-6.689449409785937
102,16,0.2,0.7894214714047566,1.5788429428095132,True,-6.5566148556247335
103,16,0.2,0.7476792976378427,1.4953585952756854,True,-6.782694659752603
104,17,0.2,0.8153842156545532,1.6307684313091064,True,-6.415998026051079
105,15,0.2,0.7134544538767387,1.4269089077534771,True,-6.968059849812502
106,16,0.2,0.7813368880029232,1.5626737760058464,True,-6.600401771039058
107,17,0.2,0.7880836578791358,1.5761673157582716,True,-6.563860587998922
108,17,0.2,0.8383353416939636,1.6766706833879272,True,-6.291692423077984
109,16,0.2,0.7740350659460541,1.5480701318921082,True,-6.639949172418093
110,16,0.2,0.745990629936855,1.49198125987371,True,-6.791840653567111
111,17,0.2,0.7865767570596222,1.5731535141192443,True,-6.572022114133572
112,15,0.2,0.7230206264981058,1.4460412529962117,True,-6.916248498430358
113,17,0.2,0.847055417342105,1.69411083468421,True,-6.2444636178528325
114,16,0.2,0.8005037145961705,1.601007429192341,True,-6.496592313818388
115,16,0.2,0.7743075394496968,1.5486150788993935,True,-6.638473428565423
116,16,0.2,0.7334127722177027,1.4668255444354057,True,-6.859963593818681
117,16,0.2,0.7658052297360953,1.5316104594721909,True,-6.684522791624926
118,16,0.2,0.7780648111544817,1.5561296223089631,True,-6.618123667773947
119,16,0.2,0.7371842237357625,1.474368447471525,True,-6.839537033734824
120,17,0.2,0.7989379595009956,1.597875919001991,True,-6.50507260061912
121,16,0.2,0.7738393417679719,1.5476786835359435,True,-6.641009234217724
122,17,0.2,0.790878177572512,1.581756355145024,True,-6.548725188763659
123,16,0.2,0.7810414264006758,1.5620828528013515,True,-6.602002020741827
124,15,0.2,0.7372381740338695,1.474476348067739,True,-6.839244833503547
125,16,0.2,0.7435620532888952,1.4871241065777905,True,-6.804994068526909
126,17,0.2,0.8124665937565129,1.6249331875130255,True,-6.431800159186536
127,17,0.2,0.8205545489441858,1.6411090978883716,True,-6.38799498184157
128,16,0.2,0.750029625067878,1.500059250135756,True,-6.769965050413476
129,16,0.2,0.7222056304917082,1.4444112609834163,True,-6.920662598628403
130,16,0.2,0.7714408093690183,1.5428816187380363,True,-6.653999926508398
131,16,0.2,0.7523880866603021,1.5047761733206042,True,-6.757191385634164
132,16,0.2,0.7594265456963942,1.5188530913927885,True,-6.719070384817886
133,16,0.2,0.7557222902562145,1.511444580512429,True,-6.739133004197311
134,16,0.2,0.7584365792614738,1.5168731585229476,True,-6.724432142424227
135,17,0.2,0.8235011424138449,1.6470022848276895,True,-6.372035935765417
136,17,0.2,0.8047013747410808,1.6094027494821617,True,-6.473857365019222
