b,d_s_robust,Tlog_npoints_median,fit_ok,lambda_max_used
45,1.547479200435497,-6.641549444468006,True,0.2
46,1.56761004158158,-6.587034116053999,True,0.2
47,1.4967239954826506,-6.778997087447546,True,0.2
48,1.506078159486549,-6.7536655417356455,True,0.2
49,1.6584196241557168,-6.3411172077021,True,0.2
50,1.486884274079019,-6.80564354697344,True,0.2
51,1.5349842665901363,-6.675386352580693,True,0.2
52,1.7138591621453338,-6.190984155700304,True,0.2
53,1.4769834852150838,-6.832455380247489,True,0.2
54,1.5008469082888511,-6.767832032593586,True,0.2
55,1.6207602909772432,-6.443100572489441,True,0.2
56,1.4590669133567369,-6.880974356271548,True,0.2
57,1.6723245828306346,-6.303461881566171,True,0.2
58,1.5367387695085395,-6.670635070599678,True,0.2
59,1.5142161616209102,-6.731627423419118,True,0.2
60,1.5115049384963255,-6.738969551746882,True,0.2
61,1.581314810397774,-6.549920914105245,True,0.2
62,1.6028768206095765,-6.491529908015005,True,0.2
63,1.5602284123536885,-6.607023938569053,True,0.2
64,1.52043532326542,-6.7147856214770165,True,0.2
65,1.590383513980217,-6.525362409545075,True,0.2
66,1.671309045367333,-6.306212007997892,True,0.2
67,1.4077252292699576,-7.020010214187677,True,0.2
68,1.5267584088141704,-6.697662388385137,True,0.2
69,1.747280419440264,-6.10047771316168,True,0.2
70,1.6193347928511117,-6.446960892976581,True,0.2
71,1.6351785389600817,-6.404055233139973,True,0.2
72,1.6837710764045182,-6.272464202341499,True,0.2
73,1.4918320237227078,-6.792244792555844,True,0.2
74,1.570979651680802,-6.577909042747164,True,0.2
75,1.636416997779928,-6.400701424483831,True,0.2
76,1.6094582715864252,-6.473707008373606,True,0.2
77,1.499744799638774,-6.770816598145064,True,0.2
78,1.4827713980067452,-6.816781421848068,True,0.2
79,1.4675471222966243,-6.858009524746498,True,0.2
80,1.5352078364127393,-6.674780914277632,True,0.2
81,1.4999753229927717,-6.770192329329912,True,0.2
82,1.5017670859164958,-6.765340145383994,True,0.2
83,1.6552804656878086,-6.34961820642241,True,0.2
84,1.604118021194714,-6.488168674520815,True,0.2
85,1.5758042172682754,-6.564843876937777,True,0.2
86,1.5218423370634273,-6.710975357478368,True,0.2
87,1.6130593834668403,-6.463955016621656,True,0.2
88,1.5678299801616131,-6.586438511338111,True,0.2
89,1.7156410546879195,-6.186158701242012,True,0.2
90,1.621942644399919,-6.439898700065389,True,0.2
91,1.640955976569198,-6.388409642060751,True,0.2
92,1.595280041657988,-6.512102366782584,True,0.2
93,1.4870300489739097,-6.805248781240015,True,0.2
94,1.4767276995648415,-6.833148060629068,True,0.2
95,1.6027027610674816,-6.492001269992979,True,0.2
96,1.5606475425218942,-6.6058889130327545,True,0.2
97,1.6015154782473038,-6.495216491472927,True,0.2
98,1.511971222776048,-6.737706830509408,True,0.2
99,1.566353156100602,-6.590437825033523,True,0.2
100,1.5457383003401366,-6.646263889321344,True,0.2
101,1.5297912102725242,-6.689449409785937,True,0.2
102,1.5788429428095132,-6.5566148556247335,True,0.2
103,1.4953585952756854,-6.782694659752603,True,0.2
104,1.6307684313091064,-6.415998026051079,True,0.2
105,1.4269089077534771,-6.968059849812502,True,0.2
106,1.5626737760058464,-6.600401771039058,True,0.2
107,1.5761673157582716,-6.563860587998922,True,0.2
108,1.6766706833879272,-6.291692423077984,True,0.2
