diag,n_nodes_sub,lambda_max,n_points_fit,fit_ok,slope,stderr_slope,r_value,d_s_est
7,1953,0.1,8,True,0.104621299101952,0.024710432545890774,0.8655779041394748,0.209242598203904
7,1953,0.2,17,True,0.14962520383247638,0.02872804676144964,0.8024534048685937,0.29925040766495276
7,1953,0.4,56,True,0.2518985611905393,0.033155295505011284,0.718790533431744,0.5037971223810787
7,1953,0.8,200,True,0.432301415296142,0.03476211612302353,0.6622258051683237,0.864602830592284
8,1953,0.05,4,True,0.07366752941830536,0.0209042543188306,0.928058773314149,0.14733505883661072
8,1953,0.1,8,True,0.10519271180534145,0.02440871357941014,0.8693844603990035,0.2103854236106829
8,1953,0.2,18,True,0.15407767920230342,0.028879775860877987,0.8000975877327016,0.30815535840460684
8,1953,0.4,58,True,0.25667825201442973,0.03299251029223798,0.7207105463206541,0.5133565040288595
8,1953,0.8,200,True,0.4337103264012646,0.034508009240348476,0.666156798804294,0.8674206528025292
9,1953,0.05,5,True,0.08271956379784945,0.022120403819185848,0.9073934180063864,0.1654391275956989
9,1953,0.1,8,True,0.10505781148446469,0.024686590323218828,0.8666876626711042,0.21011562296892938
9,1953,0.2,16,True,0.14611037969132762,0.028457252525140746,0.8081695170990782,0.29222075938265524
9,1953,0.4,57,True,0.2549634444601711,0.033024859778119434,0.7211696586513345,0.5099268889203422
9,1953,0.8,200,True,0.43425405068295203,0.03456075776029189,0.6660550631671008,0.8685081013659041
10,1953,0.05,5,True,0.07951960550146119,0.02128118851020623,0.9072690315458878,0.15903921100292237
10,1953,0.1,8,True,0.10100404454126705,0.023883959008106557,0.8653241585580744,0.2020080890825341
10,1953,0.2,16,True,0.14034604542916487,0.02776530985465149,0.8037537056304519,0.28069209085832975
10,1953,0.4,60,True,0.25013454054729434,0.03263366166644267,0.7093775508077415,0.5002690810945887
10,1953,0.8,200,True,0.418126190757578,0.033956200765535766,0.6585455112630951,0.836252381515156
11,1953,0.05,4,True,0.07356653487655937,0.020896358550540856,0.9279307027292157,0.14713306975311874
11,1953,0.1,8,True,0.10519169473125337,0.02471001726274781,0.8667577524404607,0.21038338946250673
11,1953,0.2,18,True,0.15418813995725014,0.029298871042081013,0.7961311057070185,0.3083762799145003
11,1953,0.4,59,True,0.25891341797001444,0.03354463247761994,0.7148732826607826,0.5178268359400289
11,1953,0.8,200,True,0.43627038564696774,0.03481200814561272,0.6650870605388313,0.8725407712939355
12,1953,0.05,5,True,0.08502382429349906,0.022359212646057704,0.9100432312041371,0.1700476485869981
12,1953,0.1,8,True,0.10789067202983217,0.024976889850912787,0.8698748653962347,0.21578134405966434
12,1953,0.2,16,True,0.14979308862912882,0.02890554564970048,0.8107543626686204,0.29958617725825765
12,1953,0.4,58,True,0.2633561069369618,0.03359882803871852,0.7232934955141171,0.5267122138739236
12,1953,0.8,200,True,0.44557245044528027,0.03497507670805432,0.6711619791066014,0.8911449008905605
13,1953,0.05,4,True,0.07512926835323802,0.021133918163075114,0.9291737512176612,0.15025853670647604
13,1953,0.1,8,True,0.10715634938970865,0.024765916961421323,0.8702243989764533,0.2143126987794173
13,1953,0.2,17,True,0.15289977739811755,0.02891857036607325,0.8067203016329375,0.3057995547962351
13,1953,0.4,57,True,0.25953865642399915,0.03321976119973559,0.7252748013466834,0.5190773128479983
13,1953,0.8,200,True,0.44199419469465245,0.03466351223509822,0.671488339509079,0.8839883893893049
14,1953,0.05,5,True,0.07765172604920066,0.020983939438264456,0.9057008274140605,0.15530345209840132
14,1953,0.1,8,True,0.09868739694362151,0.023626886578263354,0.8626118351998233,0.19737479388724302
14,1953,0.2,17,True,0.14106285280695535,0.027696180040754886,0.7960015724064181,0.2821257056139107
14,1953,0.4,57,True,0.2394326111521314,0.03214277639979983,0.7086669322411875,0.4788652223042628
14,1953,0.8,200,True,0.4080583701987782,0.03380200583922964,0.6511316965823719,0.8161167403975564
