lambda,N_lambda
0.5646390064000689,138
0.5667248438990775,139
0.5672565697629424,140
0.5692261444591424,141
0.5709222901909774,142
0.5712809409762766,143
0.5718336756115238,144
0.5730584303567177,145
0.574612512227473,146
0.5765283592395334,147
0.5771910752772003,148
0.5776680302581539,149
0.5811522261743332,150
0.5816013909887183,151
0.5837323521181315,152
0.585337267823075,153
0.5863738685541967,154
0.5876220227559666,155
0.5891264368408659,156
0.590051811293463,157
0.5925934229050485,158
0.5943295608065405,159
0.5952536536169862,160
0.595576090822148,161
0.5982542540087995,162
0.5988020931817374,163
0.599775528978814,164
0.601864574840915,165
0.6031469402731365,166
0.6038551901799533,167
0.6060330082223554,168
0.6065175884102078,169
0.6070707778873333,170
0.6079623910504303,171
0.6106862263471676,172
0.6112005606776704,173
0.6121166997391108,174
0.613384457205713,175
0.614434995972883,176
0.6154693842758834,177
0.6178513469521212,178
0.6182822020591073,179
0.621058618805412,180
0.6213693737870081,181
0.6221571768657338,182
0.6242744505995255,183
0.6253533707858882,184
0.6264965899197794,185
0.627591014600284,186
0.6282743995472444,187
0.62890239682787,188
0.6293997449684421,189
0.6315017823157976,190
0.6319769822587685,191
0.632708105210054,192
0.6339529440330466,193
0.6341539683659211,194
0.6354022962430005,195
0.6362296256352827,196
0.6380563946503712,197
0.6396065569062422,198
0.6406880900525808,199
0.6422272592739402,200
0.643093179762233,201
0.6448113130903294,202
0.6456301361129243,203
0.6462132183471966,204
0.6472516888722752,205
0.6483750235260308,206
0.6487863350012159,207
0.6492303810300019,208
0.6512567484373077,209
0.6519613022140123,210
0.6531017377653341,211
0.6539681767547932,212
0.6553931026727084,213
0.6570445640835839,214
0.6582399517253167,215
0.6590787747277586,216
0.6599545983968372,217
0.6611688075072342,218
0.6631562260118338,219
0.6636413587482825,220
0.6639398988407785,221
0.6657771039252842,222
0.666502524523565,223
0.6673322736470271,224
0.669874042163309,225
0.670257861592495,226
0.671418177740932,227
0.6717804449268459,228
0.6742418513342976,229
0.6748290067305531,230
0.6754300479948059,231
0.6765432894137888,232
0.6774592788755158,233
0.6782421205228703,234
0.6796115148225857,235
0.6798954672564267,236
0.6812243417986285,237
0.6827257556963974,238
0.6832981939142253,239
0.6838716043259278,240
0.6843015042505541,241
0.6849750739859876,242
0.6858608766344468,243
0.6864760696043237,244
0.6866920186522929,245
0.6900079828556291,246
0.69076627641053,247
0.692092470821993,248
0.6925570326450581,249
0.6936822935022011,250
0.6940596543595389,251
0.6956484074896465,252
0.6962803724142813,253
0.6975420647873052,254
0.6987164685978758,255
0.6999095483612225,256
0.7004572125037122,257
0.7012326018228883,258
0.7020575738019513,259
0.703364886530314,260
0.7035745905635428,261
0.7043281949960329,262
0.7063986371801925,263
0.7069878319820603,264
0.707685299379541,265
0.7087778306466392,266
0.7097406230464582,267
0.7105773273668565,268
0.7110839545711274,269
0.7115766683872309,270
0.7122493736939913,271
0.7127040306139234,272
0.7131192023958491,273
0.7136941227864477,274
0.7151267447914662,275
0.7158701099681115,276
0.7165060831002411,277
0.7180111554332252,278
0.7189896938329289,279
0.7193692709860188,280
0.7204492741911032,281
0.7214593700624584,282
0.7217492476370819,283
0.7223830902319279,284
0.7232879265557033,285
0.7245301353141934,286
0.7253183598290093,287
0.7259613137650363,288
0.7262366114210239,289
0.726970435779766,290
0.7285332679565094,291
0.7291382294336902,292
0.7295781787177168,293
0.7301484618730134,294
0.7313309083810184,295
0.7322596777582493,296
0.7331651194628538,297
0.7336395293376218,298
0.7354653634186722,299
0.7362523717463947,300
0.7365659682327841,301
0.7373002124167919,302
0.7374262024612128,303
0.7382358777863628,304
0.7387296669141216,305
0.739540053755275,306
0.7396368748211727,307
0.7400743494810199,308
0.7406991005887695,309
0.7420283114832134,310
0.7424611019538273,311
0.7425767847382789,312
0.7448219446698242,313
0.7450260850213634,314
