window_type,window_center,pipeline,n_cities,d_part,d_pca90,d_est,d_clipped,T_log
annual,1990.0,B,20,3.836003969536165,4,3.9180019847680825,3.9180019847680825,-0.24564410059762704
annual,1990.0,C,20,3.8607273663323434,4,3.9303636831661715,3.9303636831661715,-0.2086117617505312
annual,1991.0,A,20,3.5105572287826408,4,3.7552786143913206,3.7552786143913206,-0.733119752896772
annual,1991.0,B,20,3.5238865536077646,4,3.7619432768038825,3.7619432768038825,-0.7131542086151181
annual,1991.0,C,20,3.510557228782637,4,3.755278614391319,3.755278614391319,-0.7331197528967773
annual,1992.0,A,20,3.6098811622633096,4,3.804940581131655,3.804940581131655,-0.5843457963645874
annual,1992.0,B,20,3.601784831019591,4,3.8008924155097956,3.8008924155097956,-0.5964730167666833
annual,1992.0,C,20,3.609881162263308,4,3.804940581131654,3.804940581131654,-0.58434579636459
annual,1993.0,A,20,3.8841632147755734,4,3.9420816073877867,3.9420816073877867,-0.17350799798077848
annual,1993.0,B,20,3.8821626898732142,4,3.941081344936607,3.941081344936607,-0.176504516487802
annual,1993.0,C,20,3.8841632147755742,4,3.942081607387787,3.942081607387787,-0.17350799798077715
annual,1994.0,A,20,3.9250217794153843,4,3.9625108897076924,3.9625108897076924,-0.112307337609491
annual,1994.0,B,20,3.903111089919338,4,3.9515555449596693,3.9515555449596693,-0.14512661743905392
annual,1994.0,C,20,3.9250217794153843,4,3.9625108897076924,3.9625108897076924,-0.112307337609491
annual,1995.0,A,20,3.9550297376712074,4,3.9775148688356037,3.9775148688356037,-0.06735943310427668
annual,1995.0,B,20,3.9457860475292073,4,3.9728930237646036,3.9728930237646036,-0.08120524354683797
annual,1995.0,C,20,3.955029737671207,4,3.9775148688356037,3.9775148688356037,-0.06735943310427668
annual,1996.0,A,20,3.661393152048353,4,3.8306965760241765,3.8306965760241765,-0.5071877312275691
annual,1996.0,B,20,3.621649816324792,4,3.810824908162396,3.810824908162396,-0.56671792797045
annual,1996.0,C,20,3.6613931520483534,4,3.8306965760241765,3.8306965760241765,-0.5071877312275691
annual,1997.0,A,20,3.5007959081196094,4,3.750397954059805,3.750397954059805,-0.7477409045681482
annual,1997.0,B,20,3.4656935803170223,4,3.7328467901585114,3.7328467901585114,-0.800319492705689
annual,1997.0,C,20,3.5007959081196094,4,3.750397954059805,3.750397954059805,-0.7477409045681482
annual,1998.0,A,20,3.8589806486580795,4,3.9294903243290396,3.9294903243290396,-0.21122811100532085
annual,1998.0,B,20,3.863419321121653,4,3.9317096605608266,3.9317096605608266,-0.2045795738298887
annual,1998.0,C,20,3.8589806486580795,4,3.9294903243290396,3.9294903243290396,-0.21122811100532085
annual,1999.0,A,20,3.6398555920038778,4,3.819927796001939,3.819927796001939,-0.5394481130869897
annual,1999.0,B,20,3.6407949914607407,4,3.8203974957303704,3.8203974957303704,-0.538041018451648
annual,1999.0,C,20,3.6398555920038804,4,3.81992779600194,3.81992779600194,-0.5394481130869857
annual,2000.0,A,20,3.9685836944230175,4,3.9842918472115088,3.9842918472115088,-0.04705742026640035
annual,2000.0,B,20,3.9393156458768717,4,3.969657822938436,3.969657822938436,-0.09089703907321738
annual,2000.0,C,20,3.9685836944230157,4,3.984291847211508,3.984291847211508,-0.047057420266403006
