window_type,window_center,pipeline,n_cities,d_part,d_pca90,d_est,d_clipped,T_log
3yr,1994.5,B,20,3.4166308185918086,4,3.7083154092959045,3.7083154092959045,-0.8738089420706452
3yr,1994.5,C,20,3.439597032352427,4,3.7197985161762137,3.7197985161762137,-0.839408628188633
3yr,1995.0,A,20,3.345215961841406,4,3.672607980920703,3.672607980920703,-0.9807788376598537
3yr,1995.0,B,20,3.3225112241768375,4,3.6612556120884188,3.6612556120884188,-1.0147874953520162
3yr,1995.0,C,20,3.3452159618414052,4,3.6726079809207026,3.6726079809207026,-0.9807788376598551
3yr,1995.5,A,20,3.403964500765293,4,3.7019822503826463,3.7019822503826463,-0.8927813906206391
3yr,1995.5,B,20,3.3795103660094594,4,3.6897551830047295,3.6897551830047295,-0.9294104109755835
3yr,1995.5,C,20,3.4039645007652926,4,3.7019822503826463,3.7019822503826463,-0.8927813906206391
3yr,1996.0,A,20,3.276678553522935,4,3.6383392767614673,3.6383392767614673,-1.0834387006825503
3yr,1996.0,B,20,3.2692927279097295,4,3.6346463639548645,3.6346463639548645,-1.0945016787607111
3yr,1996.0,C,20,3.2766785535229346,4,3.6383392767614673,3.6383392767614673,-1.0834387006825503
3yr,1996.5,A,20,3.4570190281708593,4,3.7285095140854296,3.7285095140854296,-0.8133128106171336
3yr,1996.5,B,20,3.450524343932068,4,3.725262171966034,3.725262171966034,-0.8230409782074779
3yr,1996.5,C,20,3.4570190281708593,4,3.7285095140854296,3.7285095140854296,-0.8133128106171336
3yr,1997.0,A,20,3.465524152891367,4,3.7327620764456837,3.7327620764456837,-0.8005732723092196
3yr,1997.0,B,20,3.4670406872728905,4,3.733520343636445,3.733520343636445,-0.7983017068138788
3yr,1997.0,C,20,3.4655241528913665,4,3.7327620764456833,3.7327620764456833,-0.8005732723092209
3yr,1997.5,A,20,3.5584062420278615,4,3.7792031210139307,3.7792031210139307,-0.6614483362785626
3yr,1997.5,B,20,3.5618501265877907,4,3.7809250632938953,3.7809250632938953,-0.6562898582172756
3yr,1997.5,C,20,3.558406242027861,4,3.7792031210139303,3.7792031210139303,-0.6614483362785639
3yr,1998.0,A,20,3.6549170014565098,4,3.827458500728255,3.827458500728255,-0.5168881378957593
3yr,1998.0,B,20,3.666716954867187,4,3.8333584774335936,3.8333584774335936,-0.49921338726635933
3yr,1998.0,C,20,3.6549170014565098,4,3.827458500728255,3.827458500728255,-0.5168881378957593
3yr,1998.5,A,20,3.7471140730240173,4,3.8735570365120084,3.8735570365120084,-0.37878926648478517
3yr,1998.5,B,20,3.738386356272092,4,3.869193178136046,3.869193178136046,-0.39186221785887476
3yr,1998.5,C,20,3.747114073024017,4,3.8735570365120084,3.8735570365120084,-0.37878926648478517
3yr,1999.0,A,20,3.7586739061587573,4,3.8793369530793784,3.8793369530793784,-0.36147418388546554
3yr,1999.0,B,20,3.7331208226031447,4,3.866560411301572,3.866560411301572,-0.39974928243365077
3yr,1999.0,C,20,3.7586739061587573,4,3.8793369530793784,3.8793369530793784,-0.36147418388546554
