tag,window_type,window_center,pipeline,raw_csv,n_cities,feature_list,influencer_rank,city,delta_T_log,delta_abs,T_full,T_without_city,d_est_full,d_est_without_city
3yr_2014.0_C,3yr,2014.0,C,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_2014.00_C_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,1,Delhi_India_28.7041_77.1025,-0.39040345614961297,0.39040345614961297,0.05120779314046549,-0.3391956630091475,4.017093581289798,3.8848012591162027
3yr_2014.0_C,3yr,2014.0,C,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_2014.00_C_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,2,Lagos_Nigeria_6.5244_3.3792,-0.21593887321308397,0.21593887321308397,0.05120779314046549,-0.1647310800726185,4.017093581289798,3.944053491602922
3yr_2014.0_C,3yr,2014.0,C,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_2014.00_C_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,3,Mexico City_Mexico_19.4326_-99.1332,0.19564276051161988,0.19564276051161988,0.05120779314046549,0.24685055365208539,4.017093581289798,4.08383619270044
3yr_2014.0_C,3yr,2014.0,C,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_2014.00_C_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,4,Phoenix_USA_33.4484_-112.074,-0.15458727471943412,0.15458727471943412,0.05120779314046549,-0.10337948157896863,4.017093581289798,3.9648899222193306
3yr_2014.0_C,3yr,2014.0,C,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_3yr_2014.00_C_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,5,San Diego_USA_32.7157_-117.1611,-0.12832115944130712,0.12832115944130712,0.05120779314046549,-0.07711336630084163,4.017093581289798,3.973810506230062
annual_2003.0_A,annual,2003.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2003.00_A_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,1,Chicago_USA_41.8781_-87.6298,-0.4129402036120923,0.4129402036120923,0.010547371944253632,-0.4023928316678387,4.003520799250776,3.863338029921831
annual_2003.0_A,annual,2003.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2003.00_A_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,2,Phoenix_USA_33.4484_-112.074,-0.328831460573439,0.328831460573439,0.010547371944253632,-0.31828408862918534,4.003520799250776,3.8919033164276033
annual_2003.0_A,annual,2003.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2003.00_A_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,3,San Jose_USA_37.3382_-121.8863,-0.2053271322466878,0.2053271322466878,0.010547371944253632,-0.19477976030243419,4.003520799250776,3.9338482605071423
annual_2003.0_A,annual,2003.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2003.00_A_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,4,Mumbai_India_19.076_72.8777,0.1970925712896792,0.1970925712896792,0.010547371944253632,0.2076399432339328,4.003520799250776,4.070519356897223
annual_2003.0_A,annual,2003.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2003.00_A_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,5,Dallas_USA_32.7767_-96.797,-0.1884865869682942,0.1884865869682942,0.010547371944253632,-0.1779392150240406,4.003520799250776,3.939567701595088
annual_2003.0_C,annual,2003.0,C,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2003.00_C_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,1,Chicago_USA_41.8781_-87.6298,-0.4129402036120923,0.4129402036120923,0.010547371944253632,-0.4023928316678387,4.003520799250776,3.863338029921831
annual_2003.0_C,annual,2003.0,C,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2003.00_C_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,2,Phoenix_USA_33.4484_-112.074,-0.328831460573439,0.328831460573439,0.010547371944253632,-0.31828408862918534,4.003520799250776,3.8919033164276033
annual_2003.0_C,annual,2003.0,C,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2003.00_C_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,3,San Jose_USA_37.3382_-121.8863,-0.2053271322466878,0.2053271322466878,0.010547371944253632,-0.19477976030243419,4.003520799250776,3.9338482605071423
annual_2003.0_C,annual,2003.0,C,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2003.00_C_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,4,Mumbai_India_19.076_72.8777,0.1970925712896792,0.1970925712896792,0.010547371944253632,0.2076399432339328,4.003520799250776,4.070519356897223
annual_2003.0_C,annual,2003.0,C,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2003.00_C_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,5,Dallas_USA_32.7767_-96.797,-0.1884865869682942,0.1884865869682942,0.010547371944253632,-0.1779392150240406,4.003520799250776,3.939567701595088
annual_2008.0_A,annual,2008.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2008.00_A_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,1,Dallas_USA_32.7767_-96.797,-0.24616192352257177,0.24616192352257177,0.14551205752927662,-0.10064986599329513,4.048573118103324,3.965816963195553
annual_2008.0_A,annual,2008.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2008.00_A_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,2,Beijing_China_39.9042_116.4074,-0.21975384615533344,0.21975384615533344,0.14551205752927662,-0.0742417886260568,4.048573118103324,3.9747857608354735
annual_2008.0_A,annual,2008.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2008.00_A_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,3,Chicago_USA_41.8781_-87.6298,-0.21805178456332014,0.21805178456332014,0.14551205752927662,-0.07253972703404353,4.048573118103324,3.97536382056232
annual_2008.0_A,annual,2008.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2008.00_A_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,4,Paris_France_48.8566_2.3522,-0.17583687451729743,0.17583687451729743,0.14551205752927662,-0.030324816988020798,4.048573118103324,3.989700986434908
annual_2008.0_A,annual,2008.0,A,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2008.00_A_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,5,Delhi_India_28.7041_77.1025,-0.1454569326967287,0.1454569326967287,0.14551205752927662,5.5124832547919964e-05,4.048573118103324,4.000018721675993
annual_2008.0_B,annual,2008.0,B,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2008.00_B_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,1,Dallas_USA_32.7767_-96.797,-0.24616192352257177,0.24616192352257177,0.14551205752927662,-0.10064986599329513,4.048573118103324,3.965816963195553
annual_2008.0_B,annual,2008.0,B,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2008.00_B_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,2,Beijing_China_39.9042_116.4074,-0.21975384615533344,0.21975384615533344,0.14551205752927662,-0.0742417886260568,4.048573118103324,3.9747857608354735
annual_2008.0_B,annual,2008.0,B,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2008.00_B_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,3,Chicago_USA_41.8781_-87.6298,-0.21805178456332014,0.21805178456332014,0.14551205752927662,-0.07253972703404353,4.048573118103324,3.97536382056232
annual_2008.0_B,annual,2008.0,B,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2008.00_B_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,4,Paris_France_48.8566_2.3522,-0.17583687451729743,0.17583687451729743,0.14551205752927662,-0.030324816988020798,4.048573118103324,3.989700986434908
annual_2008.0_B,annual,2008.0,B,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2008.00_B_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,5,Delhi_India_28.7041_77.1025,-0.1454569326967287,0.1454569326967287,0.14551205752927662,5.5124832547919964e-05,4.048573118103324,4.000018721675993
annual_2008.0_C,annual,2008.0,C,results\temporal_cv_atypical_windows\temporal_cv_atypical_period_window_annual_2008.00_C_raw.csv,20,temperature_celsius;humidity_percent;precipitation_mm;wind_speed_ms;urban_heat_island_intensity,1,Dallas_USA_32.7767_-96.797,-0.24616192352257177,0.24616192352257177,0.14551205752927662,-0.10064986599329513,4.048573118103324,3.965816963195553
