ym,mahalanobis_sq
1997-04,2.6321956067374663
1997-05,4.989363737153699
1997-06,6.573630256624073
1997-07,1.009562532158919
1997-08,6.929024670660124
1997-09,5.6170629077854475
1997-10,4.244658439385091
1997-11,4.16467870915366
1997-12,1.3977132452106613
1998-01,6.849589225583908
1998-02,5.894776846592144
1998-03,2.8196737992857175
1998-04,2.652798007300264
1998-05,2.0601416873243386
1998-06,1.1026754641650132
1998-07,5.95392528948512
1998-08,8.262788478189476
1998-09,3.049814503759734
1998-10,8.706185538105068
1998-11,7.261136721522477
1998-12,4.651104932509009
1999-01,5.896819696820091
1999-02,6.073108207900009
1999-03,2.432392035582435
1999-04,2.760845078796374
1999-05,5.757778746197285
1999-06,4.034179655342037
1999-07,7.027397774632864
1999-08,1.636250559767445
1999-09,7.176130349570012
1999-10,6.039176787659732
