window_id,W,phase,d_point,d_std,T_log_point,T_log_mean,T_log_std,T_log_10,T_log_50,T_log_90,n_methods_used
nonoverlap_60_1260,60,declining,2.295153941012767,0.8174042394127699,-6.980227191040156,-6.936300719619998,1.538535086020139,-9.132696498408276,-6.980227191040156,-4.827757883672037,3
nonoverlap_60_1320,60,rising,2.4506108997072875,0.7074307658848835,-6.34373283754966,-6.3938610130063065,1.345453428798438,-8.255955418545527,-6.34373283754966,-4.4315102565537945,3
nonoverlap_60_1380,60,declining,4.456076574300721,3.3471435359927297,1.8673346419450414,1.918207396247058,6.587348009617169,-6.779401583529314,1.8673346419450414,10.514070867419404,3
nonoverlap_60_1440,60,rising,2.6766765496082368,0.5337076695475881,-5.4181421731725035,-5.480762430091055,1.017264267264311,-6.874886316050413,-5.4181421731725035,-3.961398030294594,3
nonoverlap_60_1500,60,declining,2.5154231156957767,0.6005585787415888,-6.078369293451625,-6.098149071851774,1.2000377441182908,-7.538570426301967,-6.078369293451625,-4.618168160601282,3
nonoverlap_60_1560,60,min,2.667718089645909,0.764013324729471,-5.4548211950051435,-5.472516591993543,1.5363220491722056,-7.666745818555092,-5.4548211950051435,-3.2428965714551974,2
nonoverlap_60_1620,60,max,2.402825527847759,1.1386279781961683,-6.539382614976482,-6.671242056717334,2.370072406622651,-9.835868658497768,-6.539382614976482,-3.2428965714551974,2
nonoverlap_60_1680,60,min,2.1186369920222883,1.5405312598315009,-7.702948401279358,-7.644967727491643,3.2017653943312507,-12.163000231103519,-7.702948401279358,-3.2428965714551974,2
nonoverlap_60_1740,60,max,2.6410318595270628,0.8017533532921527,-5.56408381617845,-5.582653314136237,1.6255379286825287,-7.885271060901703,-5.56408381617845,-3.2428965714551974,2
nonoverlap_60_1800,60,declining,2.601450693147098,0.5253656109284525,-5.726142749512666,-5.713816785994779,1.0388657546747337,-6.98281040060828,-5.726142749512666,-4.469475098417054,3
nonoverlap_60_1860,60,rising,3.1709286104655994,0.5695571263021705,-3.394503935434094,-3.3901722722016157,1.0853760409612412,-4.946679958125377,-3.394503935434094,-1.8423279127428145,3
nonoverlap_60_1920,60,declining,2.4294882547529912,0.6751087584379972,-6.430216224058031,-6.431367615496391,1.333086896492523,-8.072350531650942,-6.430216224058031,-4.78808191646512,3
nonoverlap_60_1980,60,rising,2.369884290201388,0.8878375559208406,-6.674255392206766,-6.719619001748814,1.732537523382446,-9.087818751420775,-6.674255392206768,-4.260692032992757,3
nonoverlap_60_2040,60,declining,2.5478960705934797,0.7771202080233675,-5.945413827146932,-5.976051982801461,1.5024346017580363,-8.015169205560131,-5.945413827146932,-3.8756584487337333,3
nonoverlap_60_2100,60,rising,2.468007610526103,0.8717813383393013,-6.272504709208092,-6.285251020285543,1.688861824788267,-8.59398445376915,-6.272504709208092,-3.9510249646470337,3
nonoverlap_60_2160,60,declining,2.719708287196978,0.4463808115778176,-5.2419554123730725,-5.251076480545742,0.850141517373364,-6.436728060951801,-5.2419554123730725,-4.047182763794339,3
nonoverlap_60_2220,60,min,2.4873459591270914,1.0190980379833128,-6.19332684677128,-6.243484161451653,2.0509081434784884,-9.143757122087363,-6.19332684677128,-3.2428965714551974,2
nonoverlap_60_2280,60,declining,2.9323257386831187,0.9864826974595858,-4.371426306047271,-4.313236882188685,1.874488036146015,-6.984073922587019,-4.371426306047271,-1.7587786895075224,3
nonoverlap_60_2340,60,min,2.4541006463580866,1.0661140101865747,-6.329444612326428,-6.351050448612526,2.146059860609766,-9.415992653197657,-6.329444612326428,-3.2428965714551974,2
