window_id,W,phase,d,d_std,T_log,T_log_lower,T_log_upper
nonoverlap_60_1140,60,rising,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_1200,60,declining,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_1260,60,declining,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_1320,60,rising,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_1380,60,declining,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_1440,60,rising,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_1500,60,declining,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_1560,60,min,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_1620,60,max,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_1680,60,min,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_1740,60,max,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_1800,60,declining,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_1860,60,rising,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_1920,60,declining,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_1980,60,rising,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_2040,60,declining,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_2100,60,rising,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_2160,60,declining,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_2220,60,min,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_2280,60,declining,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_2340,60,min,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_2400,60,declining,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_2460,60,min,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_2520,60,declining,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_2580,60,declining,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_2640,60,max,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_2700,60,declining,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_2760,60,rising,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_2820,60,declining,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_2880,60,max,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_2940,60,declining,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
nonoverlap_60_3000,60,rising,3.2079570924789977,0.33561666695040693,-3.2428965714551974,-5.991157122094207,-0.494636020816188
