window_id,W,phase,d_M1,d_M2,d_M3,T_log_M1,T_log_M2,T_log_M3,d_mean_3methods,T_log_mean_3methods
nonoverlap_132_924,132,rising,,2.6771890149465656,2.110659407646542,,-6.459024021037281,-9.225275876763938,2.3939242112965538,-7.842149948900609
nonoverlap_132_1056,132,declining,7.612073333297056,2.6771890149465656,2.430069259883197,17.637038616345826,-6.459024021037281,-7.665660836169768,4.2397772027089395,1.170784586379593
nonoverlap_132_1188,132,declining,2.6182446517447575,2.6771890149465656,2.074282402733561,-6.746837671004698,-6.459024021037281,-9.402897586290974,2.456572023141628,-7.536253092777652
nonoverlap_132_1320,132,declining,3.2175003110384104,2.6771890149465656,2.4824281393070904,-3.8207909856848867,-6.459024021037281,-7.410002799054315,2.7923724884306886,-5.896605935258827
nonoverlap_132_1452,132,declining,3.5124319361491514,2.6771890149465656,2.1890820338663888,-2.3806982795626377,-6.459024021037281,-8.842353726683397,2.792900994987369,-5.8940253424277715
nonoverlap_132_1584,132,max,,2.6771890149465656,2.0861712823856178,,-6.459024021037281,-9.344846541868513,2.3816801486660917,-7.9019352814528965
nonoverlap_132_1716,132,declining,2.7488592291419307,2.6771890149465656,1.9182077477883508,-6.109072561371974,-6.459024021037281,-10.16497921152445,2.448085330625616,-7.577691931311235
nonoverlap_132_1848,132,max,,2.6771890149465656,2.454207919294688,,-6.459024021037281,-7.547796543586682,2.565698467120627,-7.0034102823119815
nonoverlap_132_1980,132,max,,2.6771890149465656,2.031488553794381,,-6.459024021037281,-9.611851474166073,2.3543387843704733,-8.035437747601677
nonoverlap_132_2112,132,max,,2.6771890149465656,1.9891160141708188,,-6.459024021037281,-9.81874819210487,2.333152514558692,-8.138886106571075
nonoverlap_132_2244,132,declining,4.1788741909407685,2.6771890149465656,1.7543634423951346,0.873407243426666,-6.459024021037281,-10.964998500903276,2.8701422160941568,-5.516871759504631
nonoverlap_132_2376,132,declining,3.795386259007944,2.6771890149465656,1.9570589087310368,-0.9990883679036001,-6.459024021037281,-9.97527668817879,2.809878060895182,-5.811129692373224
nonoverlap_132_2508,132,declining,5.5299545360409885,2.6771890149465656,1.9154298111510808,7.470464950050677,-6.459024021037281,-10.178543325877735,3.374191120712878,-3.0557007989547795
nonoverlap_132_2640,132,declining,11.391745185082362,2.6771890149465656,2.129948078053901,36.09242760098871,-6.459024021037281,-9.13109311981475,5.399627426027609,6.834103486712226
nonoverlap_132_2772,132,declining,3.7210451881520044,2.6771890149465656,2.682912904020337,-1.3620810916061123,-6.459024021037281,-6.431075404463197,3.0270490357063022,-4.75072683903553
nonoverlap_132_2904,132,declining,4.261049436108643,2.6771890149465656,2.6945387930089617,1.2746526885213714,-6.459024021037281,-6.374308491357765,3.21092574802139,-3.852893274624558
nonoverlap_132_3036,132,declining,5.146351809603048,2.6771890149465656,1.7484344905356006,5.597408819890127,-6.459024021037281,-10.99394839844193,3.1906584383617385,-3.951854533196361
nonoverlap_264_0,264,rising,,3.4050404065289115,2.059834609939054,,-3.317464411623413,-10.818263466665854,2.732437508233983,-7.067863939144633
nonoverlap_264_264,264,declining,,3.4050404065289115,2.534301749073933,,-3.317464411623413,-8.17265884773433,2.969671077801422,-5.745061629678871
nonoverlap_264_528,264,rising,,3.4050404065289115,1.8577476341460208,,-3.317464411623413,-11.94509015809657,2.631394020337466,-7.631277284859991
nonoverlap_264_792,264,min,,3.4050404065289115,2.190275810491086,,-3.317464411623413,-10.090929971434422,2.7976581085099985,-6.704197191528918
nonoverlap_264_1056,264,rising,,3.4050404065289115,1.8778716560732966,,-3.317464411623413,-11.832879636079477,2.641456031301104,-7.5751720238514455
nonoverlap_264_1320,264,min,,3.4050404065289115,2.3499717036055574,,-3.317464411623413,-9.200473799446636,2.8775060550672347,-6.258969105535025
nonoverlap_264_1584,264,rising,,3.4050404065289115,2.0872063342915332,,-3.317464411623413,-10.665640124811079,2.7461233704102224,-6.991552268217246
nonoverlap_264_1848,264,declining,,3.4050404065289115,2.194003015229758,,-3.317464411623413,-10.070147267514583,2.7995217108793344,-6.6938058395689986
nonoverlap_264_2112,264,min,,3.4050404065289115,1.8198349992355887,,-3.317464411623413,-12.156489080723306,2.61243770288225,-7.73697674617336
nonoverlap_264_2376,264,rising,,3.4050404065289115,1.8572028563648664,,-3.317464411623413,-11.948127811276812,2.631121631446889,-7.632796111450112
nonoverlap_264_2640,264,rising,,3.4050404065289115,2.5391431973282903,,-3.317464411623413,-8.145663178682515,2.9720918019286007,-5.731563795152963
nonoverlap_264_2904,264,rising,,3.4050404065289115,2.4186209417942703,,-3.317464411623413,-8.817689141336604,2.9118306741615907,-6.067576776480008
