fraction,rep,n_used,d_est_sub,d_factor,d_pert,T_log,regime
0.5,4,10,3.675092749455778,0.8500000000000001,3.123828837037412,-2.0174586587489123,Divergence
0.5,4,10,3.675092749455778,0.9,3.3075834745102,-1.594347969735545,Divergence
0.5,4,10,3.675092749455778,0.95,3.491338111982989,-1.1712372807221765,Divergence
0.5,4,10,3.675092749455778,1.0,3.675092749455778,-0.7481265917088069,Divergence
0.5,4,10,3.675092749455778,1.05,3.8588473869285673,-0.3250159026954374,Divergence
0.5,4,10,3.675092749455778,1.1,4.042602024401356,0.09809478631793109,Saturation
0.5,4,10,3.675092749455778,1.15,4.226356661874145,0.5212054753312996,Saturation
0.5,4,10,3.675092749455778,1.2,4.410111299346934,0.944316164344668,Saturation
0.5,5,10,3.0072328393935375,0.8,2.40578627151483,-3.6708127662564096,Divergence
0.5,5,10,3.0072328393935375,0.8500000000000001,2.5561479134845073,-3.3245922908989227,Divergence
0.5,5,10,3.0072328393935375,0.9,2.7065095554541836,-2.9783718155414385,Divergence
0.5,5,10,3.0072328393935375,0.95,2.8568711974238603,-2.632151340183953,Divergence
0.5,5,10,3.0072328393935375,1.0,3.0072328393935375,-2.2859308648264665,Divergence
0.5,5,10,3.0072328393935375,1.05,3.1575944813632146,-1.93971038946898,Divergence
0.5,5,10,3.0072328393935375,1.1,3.3079561233328914,-1.5934899141114944,Divergence
0.5,5,10,3.0072328393935375,1.15,3.4583177653025676,-1.24726943875401,Divergence
0.5,5,10,3.0072328393935375,1.2,3.608679407272245,-0.9010489633965234,Divergence
0.5,6,10,2.966490401374743,0.8,2.3731923210997947,-3.745863110603857,Divergence
0.5,6,10,2.966490401374743,0.8500000000000001,2.521516841168532,-3.404333281768087,Divergence
0.5,6,10,2.966490401374743,0.9,2.669841361237269,-3.0628034529323167,Divergence
0.5,6,10,2.966490401374743,0.95,2.818165881306006,-2.7212736240965465,Divergence
0.5,6,10,2.966490401374743,1.0,2.966490401374743,-2.3797437952607763,Divergence
0.5,6,10,2.966490401374743,1.05,3.11481492144348,-2.038213966425006,Divergence
0.5,6,10,2.966490401374743,1.1,3.2631394415122177,-1.6966841375892348,Divergence
0.5,6,10,2.966490401374743,1.15,3.4114639615809543,-1.3551543087534657,Divergence
