b,levina_mle,lambda_max,n_points_fit,fit_ok,slope,stderr_slope,d_s
22,7.95466806370073,0.1,8,True,0.10314852463800962,0.024348805465962072,0.20629704927601925
22,7.95466806370073,0.2,16,True,0.14337699077691646,0.02812453595160287,0.2867539815538329
22,7.95466806370073,0.4,58,True,0.2517049885657761,0.03298015185535774,0.5034099771315522
23,7.869913047815265,0.1,8,True,0.10615758847459872,0.024721679213617575,0.21231517694919744
23,7.869913047815265,0.2,16,True,0.14744658390793872,0.02859522968475306,0.29489316781587743
23,7.869913047815265,0.4,58,True,0.25890610377235307,0.033397574562665414,0.5178122075447061
24,7.9765567324574675,0.1,8,True,0.10824263250521866,0.02499048120640617,0.21648526501043733
24,7.9765567324574675,0.2,17,True,0.15450841152561695,0.02918270438584996,0.3090168230512339
24,7.9765567324574675,0.4,58,True,0.26383716736959545,0.033662978227858485,0.5276743347391909
25,8.012839157037629,0.1,8,True,0.10660668338518615,0.024919720249854622,0.2132133667703723
25,8.012839157037629,0.2,16,True,0.14821891662744152,0.028630795494507782,0.29643783325488304
25,8.012839157037629,0.4,58,True,0.2604023752445525,0.03341264398977867,0.520804750489105
26,8.007720764647399,0.1,8,True,0.10601402707272382,0.02453569664093593,0.21202805414544765
26,8.007720764647399,0.2,16,True,0.14728133891885567,0.028292535981316997,0.29456267783771134
26,8.007720764647399,0.4,57,True,0.2560773087351526,0.033263096915190166,0.5121546174703052
27,7.912461066226154,0.1,8,True,0.1057091921952783,0.024798955515853708,0.2114183843905566
27,7.912461066226154,0.2,17,True,0.1510482475166073,0.028871432423626164,0.3020964950332146
27,7.912461066226154,0.4,59,True,0.26011334294237726,0.03336765051693966,0.5202266858847545
28,7.97836414621192,0.1,8,True,0.10491901053099059,0.02481805658802223,0.20983802106198118
28,7.97836414621192,0.2,16,True,0.145894351438663,0.02848606362816652,0.291788702877326
28,7.97836414621192,0.4,56,True,0.25256160284362744,0.03324594054386817,0.5051232056872549
29,7.861878476498112,0.1,8,True,0.10637756709323012,0.02486455419398037,0.21275513418646025
29,7.861878476498112,0.2,17,True,0.1520156904956269,0.028839524457887664,0.3040313809912538
29,7.861878476498112,0.4,60,True,0.2632924760155732,0.03344962847077664,0.5265849520311464
30,8.064445152894214,0.1,8,True,0.10725065774897177,0.024873576400257093,0.21450131549794355
30,8.064445152894214,0.2,17,True,0.15318311122333889,0.029021787621804435,0.30636622244667777
30,8.064445152894214,0.4,57,True,0.2602753525857189,0.03323131237605353,0.5205507051714378
31,7.871167544239357,0.1,8,True,0.10521026338920084,0.024726275811173613,0.21042052677840167
