series,W,G,phase,k,n_windows,PR_point,PR_mean,PR_std,PR_10,PR_50,PR_90,n_bootstrap_effective
S0,60,1,min,8,288,1.793104666795172,1.8217125102298026,0.07075162151040015,1.7348018215091778,1.8161635703407903,1.9151184071353033,1000
S0,60,1,min,9,288,1.8345636947443031,1.8743992238552485,0.07597233689609201,1.7802399591688158,1.8698331423577115,1.9753921960666254,1000
S0,60,1,min,10,288,1.873649929350921,1.9150153617061847,0.08045875182623453,1.8170489431691643,1.9118718634299938,2.023917876468257,1000
S0,60,1,min,11,288,1.910939307285018,1.9506108799718556,0.08639429850373946,1.8476888155247937,1.941304153453903,2.063285012059647,1000
S0,60,1,min,12,288,1.9470823740719132,1.9885687725950605,0.08606068844775233,1.8826693572691782,1.9852183114688986,2.1018378173543883,1000
S0,60,1,min,13,288,1.9804912722753678,2.0193872658518712,0.09015405600363788,1.9046500510469044,2.0179911343473784,2.1306495610604257,1000
S0,60,1,min,14,288,2.012895171646403,2.058267773558081,0.08940858922730946,1.9520462219547883,2.054308036267721,2.170640670461754,1000
S0,60,1,min,15,288,2.0425224912850126,2.0814980985376814,0.09641888642933505,1.9583759295961776,2.0763370889397716,2.203115536474775,1000
S0,60,1,min,16,288,2.0697469416484995,2.10830180435158,0.09836534573816065,1.9819735733780104,2.103488992769073,2.2384303777617425,1000
S0,60,1,min,17,288,2.0963833321167464,2.1358439363463564,0.10103367881882241,2.0122688198928285,2.129470425550501,2.2679876796686385,1000
S0,60,1,min,18,288,2.120814890565272,2.161045368927545,0.10096041862684496,2.0349406051971646,2.1590343185445735,2.2931688731235664,1000
S0,60,1,min,19,288,2.1438138459681944,2.190615222519797,0.1056027730971675,2.057679804504819,2.18560302956014,2.3301436393124875,1000
S0,60,1,min,20,288,2.1663573353703702,2.206735305542317,0.10467437062297638,2.0745573106964024,2.2071329650619127,2.3390225246881777,1000
S0,60,1,rising,5,996,1.8529658401126827,1.8589064507529889,0.04356894674856965,1.802007644898057,1.8573700397568267,1.9154937628135378,1000
S0,60,1,rising,6,996,1.902790742374173,1.907148987542398,0.0445148821786485,1.852154807605188,1.9081847528740656,1.9642610197753485,1000
S0,60,1,rising,7,996,1.9445391310494597,1.9503415789748768,0.048164344252911016,1.8868099994146506,1.9518874658393215,2.0110735254240235,1000
S0,60,1,rising,8,996,1.9767725663633975,1.9809966931927907,0.04800658791026861,1.9190435237403636,1.9803367822999007,2.0426830514155707,1000
S0,60,1,rising,9,996,2.006466725478323,2.0115633141184155,0.05007739970806324,1.9499820446604883,2.010558020021607,2.0774966434384528,1000
S0,60,1,rising,10,996,2.0331831508008156,2.0412572428553117,0.052002949683125015,1.9768745655053255,2.037984813249988,2.1105734441960635,1000
S0,60,1,rising,11,996,2.058917795574383,2.072237198686704,0.052960510022166014,2.0045290863793515,2.070980675260752,2.1408795143118184,1000
