W,G,k,n_min,n_max,mean_min,mean_max,median_min,median_max,std_min,std_max,diff_means,cliffs_delta,p_perm,q_fdr,significant_fdr_0_05
60,1,19,24,25,13.618738003630094,14.83542319694325,13.032535574695816,13.33423993347626,4.354400447967123,5.364657937598262,-1.2166851933131557,-0.09666666666666666,0.39480259870064965,0.7946026986506747,False
60,1,20,24,25,13.687813176456538,15.035059374057935,13.256669533410275,13.545110976704546,4.613802187504791,5.524344647824404,-1.3472461976013967,-0.1,0.36481759120439783,0.7725548990210778,False
60,6,5,24,25,17.705283615307785,18.385060516208327,13.962978808612323,14.772903676275998,12.635701262879248,10.995996762658924,-0.6797769009005421,-0.05,0.8515742128935532,0.9509138560490747,False
60,6,6,24,25,15.943003466863317,17.952876864071822,13.261609411108658,13.268081695348062,9.539111932030744,12.271187707654303,-2.009873397208505,-0.03666666666666667,0.5417291354322838,0.9281889667411193,False
60,6,7,24,25,11.710315690601904,14.630629166876531,10.3591657459741,12.477877906986905,5.291713876002519,9.252731460587295,-2.920313476274627,-0.13333333333333333,0.18190904547726136,0.7157502329916123,False
60,6,8,24,25,11.221500436130933,13.988165580039636,10.76503256447419,10.836207244794355,4.195718698194812,9.232236169991461,-2.7666651439087033,-0.11666666666666667,0.21139430284857572,0.7427229781335748,False
60,6,9,24,25,10.71490888821323,13.724609266033665,10.343067184473902,11.434916078370865,3.815756605909763,7.399407896169878,-3.009700377820435,-0.25,0.0814592703648176,0.42150353394731205,False
60,6,10,24,25,10.116963066794115,12.557994078051196,10.009415929992112,11.686921572830906,3.2627617223265686,4.277444504984784,-2.441031011257081,-0.33,0.028985507246376812,0.24975747420407443,False
60,6,11,24,25,9.349776946215476,11.470818545691568,9.362281153516449,10.30425587022815,2.354602821579201,4.1699759909651934,-2.121041599476092,-0.24666666666666667,0.03498250874562719,0.2590704647676162,False
60,6,12,24,25,9.216573815354922,11.150792807465853,9.190808329940808,9.741677548097718,2.3555711036645572,3.703657137611307,-1.9342189921109316,-0.2633333333333333,0.03798100949525238,0.2604412079674449,False
60,6,13,24,25,9.206190383396583,10.737940460093586,9.165883776289174,9.466284658490736,2.3669737105834576,3.169170242665872,-1.5317500766970031,-0.21333333333333335,0.06146926536731634,0.3432130088801753,False
60,6,14,24,25,9.192660078629535,10.449159348615582,8.953458357685887,9.553070826075173,2.6564842736169876,3.0685365475386597,-1.2564992699860476,-0.18333333333333332,0.12493753123438281,0.5622188905547226,False
60,6,15,24,25,8.544079396316041,10.104117243972151,8.499029376377106,9.441973871590452,2.217718246886213,2.7500314725546198,-1.56003784765611,-0.32,0.04097951024487756,0.2682295216028349,False
60,6,16,24,25,8.727250129880135,10.010256944616488,8.988386976032086,8.930252449925202,2.20562066303841,2.8362450199475675,-1.2830068147363534,-0.22,0.08195902048975512,0.42150353394731205,False
60,6,17,24,25,8.472078468567302,9.867919887017878,8.409937881589038,9.097828826694716,2.1324159433541174,2.6561082735446355,-1.3958414184505763,-0.22666666666666666,0.04847576211894053,0.3035004237011929,False
60,6,18,24,25,8.216174796752524,9.653668243492893,7.801943603452299,9.21058391898424,2.0275629270795084,2.432967305870553,-1.437493446740369,-0.30666666666666664,0.02448775612193903,0.2350824587706147,False
60,6,19,24,25,7.945101798936414,9.090755625731747,7.8952235445113965,8.770690663278293,1.7461003859736592,1.999716696619143,-1.145653826795333,-0.30666666666666664,0.035982008995502246,0.2590704647676162,False
60,6,20,24,25,7.856841260020339,9.025583034064146,7.882712915971647,8.662268567181627,1.709433436591701,1.9347813843691362,-1.1687417740438075,-0.35333333333333333,0.02948525737131434,0.24975747420407443,False
