series,W,G,phase,k,n_windows,PR_point,PR_mean,PR_std,PR_10,PR_50,PR_90,n_bootstrap_effective
S0,132,1,declining,17,1470,2.2933025857434277,2.3030768314689385,0.0366044813945112,2.254321175450735,2.303208859864789,2.351586696478165,1000
S0,132,1,declining,18,1470,2.3092007934285608,2.320719369614174,0.03639173122833092,2.2763834880778564,2.320020104994515,2.367758314523448,1000
S0,132,1,declining,19,1470,2.3250840107718713,2.337609415333955,0.037032720455993824,2.290229307257964,2.339011779502368,2.3838675751209353,1000
S0,132,1,declining,20,1470,2.3400091982336066,2.3544771447959714,0.03855700676855132,2.30596270215165,2.353526387183262,2.404562484384769,1000
S0,132,1,min,5,288,2.6743636522859195,2.730704410468229,0.11664722662418686,2.585173211840857,2.725590740472496,2.8776658894037306,1000
S0,132,1,min,6,288,2.84849921996277,2.9217348326180725,0.1321150264506265,2.751808280535057,2.9190840580603648,3.093886271927236,1000
S0,132,1,min,7,288,2.9844389070174544,3.0882373825827916,0.1473307845924826,2.905483112063021,3.082994464480564,3.2836478670197957,1000
S0,132,1,min,8,288,3.1171906987814926,3.2407789047093094,0.155963691715648,3.044464771471429,3.2393350940999,3.4443687014092106,1000
S0,132,1,min,9,288,3.2457129011063115,3.395364749390549,0.17435938160842757,3.1815778742135934,3.3907778842231027,3.6210786043267835,1000
S0,132,1,min,10,288,3.376433484190051,3.543393811056657,0.18947253029805786,3.3112792162527676,3.533589481402938,3.7822635286023374,1000
S0,132,1,min,11,288,3.5031140489169212,3.6703836175549176,0.19317250972334324,3.4300342938991824,3.6704665994425714,3.9185505460673693,1000
S0,132,1,min,12,288,3.630045391383958,3.8006153051695226,0.21210629610203832,3.5285169503162352,3.7997881247977716,4.075252678592105,1000
S0,132,1,min,13,288,3.7485305062739718,3.953537704547455,0.2191808385120166,3.67001177783283,3.9481178765821956,4.234161524867491,1000
S0,132,1,min,14,288,3.8613749927317325,4.0487404982644986,0.23257063339206022,3.755560447624601,4.042493457890879,4.3572092814754955,1000
S0,132,1,min,15,288,3.9667823384965444,4.172161546724039,0.24460668684441284,3.870037731518358,4.166244852561393,4.487629665671564,1000
S0,132,1,min,16,288,4.065738911222986,4.2771940984012256,0.2397429834073055,3.97176833939129,4.26998005054123,4.579628431886951,1000
S0,132,1,min,17,288,4.1607034986398705,4.386915667185721,0.2573926708868775,4.059641315679225,4.381822340980461,4.724964645877183,1000
S0,132,1,min,18,288,4.252888906506245,4.494115096205575,0.25556602531697087,4.164965674816095,4.490614733857104,4.8295148771819765,1000
S0,132,1,min,19,288,4.340889600846323,4.593295137885679,0.2826687803982159,4.237517807653412,4.579438882348645,4.95728707657771,1000
S0,132,1,min,20,288,4.425035504177135,4.68605584886743,0.2805658473336007,4.3522237152321726,4.668626457156673,5.051458714473299,1000
S0,132,1,rising,5,996,2.1987362603401515,2.2016488369498397,0.03623392994916453,2.1556264959357243,2.2019622071897205,2.245615403273045,1000
S0,132,1,rising,6,996,2.2600400546146173,2.272299287247021,0.038159558013103216,2.223896163161191,2.2726139295281174,2.3221165733622424,1000
S0,132,1,rising,7,996,2.321680104726417,2.3332589351627426,0.040078263218456235,2.283825996366609,2.33189096478253,2.3856084897106276,1000
S0,132,1,rising,8,996,2.3803786072494058,2.391969133065517,0.04245592887562099,2.338551830568865,2.3908182507577695,2.448146910123688,1000
S0,132,1,rising,9,996,2.4305133672763417,2.447007343852534,0.04311315454867239,2.391992673223748,2.44797211583602,2.5018624342739595,1000
S0,132,1,rising,10,996,2.478990804675349,2.501576131000828,0.044778135698300955,2.444721400107071,2.501494975978853,2.5596051700480698,1000
S0,132,1,rising,11,996,2.525686386763557,2.547772694276713,0.0474718486465283,2.487778822546811,2.545600258756665,2.609467227269472,1000
S0,132,1,rising,12,996,2.5709944309598307,2.5967474775157235,0.04692058645644532,2.5356941395169366,2.5962045314634956,2.65747649262065,1000
S0,132,1,rising,13,996,2.613750384340439,2.6402505049720135,0.049725077218567185,2.576051027062716,2.6401336408075595,2.7072160490706065,1000
S0,132,1,rising,14,996,2.655407727484216,2.685607653793712,0.0522891219022383,2.617698974352358,2.6843728647132026,2.754976823940749,1000
S0,132,1,rising,15,996,2.693162581642968,2.725481326433955,0.05013056859986753,2.6602487087074858,2.7247599479448583,2.7901184454131185,1000
S0,132,1,rising,16,996,2.730356614782423,2.7619262785686245,0.05378518425273709,2.6905652441922907,2.7651871556506507,2.832115449014391,1000
S0,132,1,rising,17,996,2.76718611007515,2.8020468293026215,0.05517125118597588,2.730452658415005,2.802829486283145,2.8733541875017083,1000
S0,132,1,rising,18,996,2.8033071737534225,2.8392245194403,0.05670865895463377,2.7672349165066548,2.8386760734487595,2.9149140511036618,1000
S0,132,1,rising,19,996,2.8373687736414204,2.874404088284578,0.05608133767301002,2.8018947352750763,2.873980153165185,2.947283829393526,1000
S0,132,1,rising,20,996,2.869238441382972,2.9107767941271048,0.057766613632395165,2.838332995572115,2.9100378353053484,2.9834884294264175,1000
S0,132,1,max,5,300,2.063741270690431,2.087608512642172,0.07041882004814079,1.9979850134801354,2.0875970150571472,2.1782329646170213,1000
S0,132,1,max,6,300,2.1496414308250325,2.1820134701217913,0.08149385137416076,2.0801162308587093,2.1771156273916787,2.283927036169466,1000
S0,132,1,max,7,300,2.2280363978749214,2.2644572792079014,0.08403226939907806,2.155554219836236,2.262011817085739,2.3734677235294876,1000
S0,132,1,max,8,300,2.299341955566675,2.3455429673932775,0.09113289091659983,2.2355009433013087,2.344175978679333,2.4580171671952846,1000
S0,132,1,max,9,300,2.3624573458077385,2.420622440018142,0.0973600112801067,2.2962438840541806,2.4172084067181507,2.5444780449543147,1000
S0,132,1,max,10,300,2.4221243524607328,2.48684940796762,0.10108575221118668,2.3556083039482276,2.4852865932673645,2.6172473475713574,1000
S0,132,1,max,11,300,2.4786662304754814,2.5474476091282634,0.10539169863490924,2.4137800350500855,2.5437408215376336,2.692236861887711,1000
