W,G,cycle_phase,k,d_mean,d_std,n_windows
60,1,min,19,13.06562994176651,4.204129321033109,288
60,1,min,20,12.90096762921381,4.16409504313534,288
60,1,rising,5,22.549112737895577,19.4446945858998,996
60,1,rising,6,20.513437963146046,15.616390819235756,996
60,1,rising,7,19.078472717909822,14.00141547716579,996
60,1,rising,8,17.653057897357815,11.162542809801396,996
60,1,rising,9,16.850341981303014,9.122783867401614,996
60,1,rising,10,16.565435962593686,8.21498767674681,996
60,1,rising,11,16.16515258593482,7.714976571504903,996
60,1,rising,12,15.82473349781186,7.104375983524933,996
60,1,rising,13,15.585433355127263,6.975532452342803,996
60,1,rising,14,15.333173189848223,6.75271207695534,996
60,1,rising,15,15.150798836874204,6.562052826342025,996
60,1,rising,16,14.875582763759763,6.285942148937727,996
60,1,rising,17,14.57310035790204,5.980846435308518,996
60,1,rising,18,14.307209029835931,5.7133118318119624,996
60,1,rising,19,14.069939430985372,5.56496438008299,996
60,1,rising,20,13.872832096963045,5.426314428697809,996
60,1,unknown,5,24.68002247217316,19.44650547048414,80
60,1,unknown,6,20.443227733778645,11.257405554256026,80
60,1,unknown,7,18.587708250894856,9.923522168726954,80
60,1,unknown,8,17.039574447168537,8.567998609626827,80
60,1,unknown,9,16.471080605641692,7.969138367106212,80
60,1,unknown,10,16.33319739507536,8.050609048312753,80
60,1,unknown,11,15.75118714712259,7.163356431692069,80
60,1,unknown,12,15.31801313374325,7.382070412028608,80
60,1,unknown,13,14.767383311471011,7.154882648656031,80
60,1,unknown,14,14.592664443765475,7.299408454417339,80
60,1,unknown,15,14.409887240163082,7.219018909261646,80
60,1,unknown,16,14.372342122160813,7.02394207320635,80
60,1,unknown,17,14.196246651674816,6.638965800237776,80
60,1,unknown,18,14.132129079433838,6.527703873989088,80
60,1,unknown,19,14.029822066287892,6.244829799925926,80
60,1,unknown,20,14.024272439805042,6.073938723048022,80
60,6,declining,5,20.294649873105016,11.494447913695566,259
60,6,declining,6,18.203612783373163,9.40531563292372,259
60,6,declining,7,16.695640628671157,7.292229080650829,259
60,6,declining,8,15.876392704569849,6.445380906712693,259
60,6,declining,9,14.959620624369174,5.372796702782689,259
60,6,declining,10,14.334380460024873,4.885915093174101,259
60,6,declining,11,13.56445252695944,4.436584039895433,259
60,6,declining,12,13.090658381533313,4.491364245605994,259
60,6,declining,13,12.740270441527814,4.228380678656297,259
60,6,declining,14,12.492116917295006,4.061203949860729,259
60,6,declining,15,12.057432475689819,3.9073058034550003,259
60,6,declining,16,11.720610118987718,3.784244256422417,259
60,6,declining,17,11.389825776794208,3.6678090438132833,259
60,6,declining,18,11.112897972301642,3.4994869671496787,259
60,6,declining,19,10.92989294984297,3.4061033898674364,259
60,6,declining,20,10.662766918593283,3.158853053037491,259
60,6,max,5,18.79508735825811,10.67345071153821,50
60,6,max,6,17.05167991066955,9.715552458296402,50
60,6,max,7,14.450501895192877,7.514094151595522,50
60,6,max,8,14.016134813672668,7.208401491114457,50
60,6,max,9,13.856740783156527,6.242069970552036,50
60,6,max,10,12.599920769426676,4.0723542480686925,50
60,6,max,11,11.726078921277509,3.853791536787999,50
60,6,max,12,11.414246496327191,3.6908353712365143,50
60,6,max,13,10.98921661970009,3.354290167482649,50
60,6,max,14,10.685494610289663,3.011131908944602,50
60,6,max,15,10.38688922261316,2.9242428721503617,50
60,6,max,16,10.005277196746036,2.775937035185778,50
60,6,max,17,9.722652582302802,2.4450727647590704,50
60,6,max,18,9.556352010769128,2.3326452899417585,50
60,6,max,19,9.25977366901903,2.1170384636764052,50
60,6,max,20,9.123061536508263,2.18938238995259,50
60,6,min,5,14.58707233580003,10.072856221718618,48
60,6,min,6,13.758242590978982,8.293831338750826,48
60,6,min,7,11.266605662054841,5.025639440239674,48
60,6,min,8,11.009144653086047,4.721931486571874,48
60,6,min,9,10.60600086425824,4.34832986607377,48
60,6,min,10,10.338121627019131,4.04437697835085,48
60,6,min,11,9.785471344988887,3.6841292494217504,48
60,6,min,12,9.628875394914232,3.4176134241005944,48
60,6,min,13,9.15037482948018,2.2783718710426233,48
60,6,min,14,9.104402902291454,2.3795072859626805,48
60,6,min,15,8.659923434892997,2.167271534156748,48
60,6,min,16,8.600010861741477,2.1022292269103477,48
60,6,min,17,8.28222091045288,1.9394934184017236,48
60,6,min,18,8.030908530683904,1.8152249509374017,48
60,6,min,19,7.8145765487014565,1.6544666776402446,48
60,6,min,20,7.621791150453902,1.6072686064927155,48
60,6,rising,5,18.172960512828126,22.22205207919,165
60,6,rising,6,16.509003542980498,17.34125918658244,165
60,6,rising,7,14.06469989810221,9.310539743287706,165
60,6,rising,8,13.457586331712218,8.342228628663378,165
60,6,rising,9,12.80590700792582,7.903586455619671,165
60,6,rising,10,11.975190243482558,6.184817119802423,165
60,6,rising,11,11.202543039814952,5.060920983818148,165
60,6,rising,12,10.76572879474697,4.75626258746361,165
60,6,rising,13,10.145734388716939,4.1634529924009325,165
60,6,rising,14,9.777957984965685,3.4427449285127314,165
60,6,rising,15,9.38810229049172,3.122117294380957,165
60,6,rising,16,9.024583823068168,2.8394940845941354,165
60,6,rising,17,8.808524153159928,2.6685806316277794,165
60,6,rising,18,8.499017624086619,2.3772086686353635,165
60,6,rising,19,8.338840003187215,2.1915694869345628,165
60,6,rising,20,8.159522051302204,2.1001215325719977,165
60,6,unknown,5,10.460217923382173,4.180525053885422,13
60,6,unknown,6,10.50070004932668,4.976076136592282,13
60,6,unknown,7,9.759223706094865,2.509411824162697,13
60,6,unknown,8,9.740418377085629,1.9261709625460188,13
60,6,unknown,9,9.596137068626133,2.8597741069867264,13
60,6,unknown,10,9.287100672961085,2.3975066156680005,13
60,6,unknown,11,9.313661539157078,2.505435867209169,13
60,6,unknown,12,9.496879159015709,2.9161883685170182,13
60,6,unknown,13,9.202751493609377,2.1633204584855124,13
60,6,unknown,14,9.278892795899836,2.179119033721253,13
60,6,unknown,15,9.276442808616059,1.934466592046836,13
60,6,unknown,16,9.370193166260322,1.9537026589311548,13
60,6,unknown,17,9.418255223124888,1.8545318765569103,13
60,6,unknown,18,9.396649171962126,1.7263052291370906,13
60,6,unknown,19,9.542597653849883,1.917640927737214,13
60,6,unknown,20,9.065751649386245,1.4803284946669695,13
60,12,declining,5,16.008570366763795,8.846843932296984,129
60,12,declining,6,13.984694274059022,6.16501912284281,129
