series,W,G,phase,k,n_windows_x,PR_point_x,PR_mean_orig,PR_std_orig,PR_10_x,PR_50_x,PR_90_x,n_bootstrap_effective_x,n_windows_y,PR_point_y,PR_mean_corr,PR_std_corr,PR_10_y,PR_50_y,PR_90_y,n_bootstrap_effective_y,diff_PR_mean,rel_diff_PR_mean
S0,264,6,declining,12,244,3.494582120902896,3.5094092666900774,0.1464058744465687,3.318690219222168,3.503357540702832,3.695919709450857,1000,244,2.817908314576627,2.852232369900707,0.1294250909113575,2.6933308765862494,2.8463265985107538,3.02940016762453,1000,-0.6571768967893705,-0.18726140123553936
S0,264,6,declining,13,244,3.5221722743572466,3.5547103835125022,0.1439650028782365,3.37343419760859,3.556234489862097,3.7380005516384327,1000,244,2.843544997014121,2.894554946390954,0.1304907073703133,2.7306573695222944,2.892048134991988,3.053319925697608,1000,-0.6601554371215483,-0.18571286149878447
S0,264,6,declining,14,244,3.548924917494696,3.5889257005187027,0.1441075879176931,3.402558141790133,3.5849166837663358,3.771161573159006,1000,244,2.867994497419496,2.925152318829865,0.1308448564773397,2.762108299332368,2.921408821594724,3.0894287954568465,1000,-0.6637733816888378,-0.18495043839801517
S0,264,6,declining,15,244,3.574546867482773,3.621697836909439,0.1498409543276229,3.4366222876563777,3.61789928579123,3.81637570543382,1000,244,2.8919096000238254,2.95637759525742,0.1335754118922224,2.792707509285544,2.953825828546354,3.126785052223573,1000,-0.6653202416520188,-0.1837039619571817
S0,264,6,declining,16,244,3.59969169828951,3.6450234131949686,0.156151378688078,3.444933641162224,3.639655090668613,3.847056560526533,1000,244,2.914863562480765,2.979039630590657,0.1384162192482136,2.79996052164314,2.978250615249653,3.155575627700664,1000,-0.6659837826043118,-0.18271042654855205
S0,264,6,declining,17,244,3.623856889482896,3.679573253754795,0.1520770962857964,3.48727988044468,3.6754765428437888,3.869234857930203,1000,244,2.9371781679301283,3.009302226885491,0.1353470336714696,2.83870411689448,3.00143181856254,3.1869695663459647,1000,-0.6702710268693037,-0.18215998993506388
S0,264,6,declining,18,244,3.647189698141974,3.701067455234988,0.1513587932185706,3.507199115635117,3.700453603262959,3.895226608312532,1000,244,2.958562100267127,3.026565198043724,0.1385733763357451,2.850178567868933,3.0275336180452164,3.20287596473201,1000,-0.6745022571912642,-0.1822453293136314
S0,264,6,declining,19,244,3.669331752569101,3.733667622008301,0.1479835985245578,3.5473136125090736,3.729010416653368,3.9260264264964815,1000,244,2.9792673189931667,3.057454678228181,0.1334661457973885,2.885678512373985,3.0513189058503563,3.23155792648853,1000,-0.6762129437801199,-0.18111225000161957
S0,264,6,declining,20,244,3.690856821175942,3.766995031823758,0.149552921898988,3.571193774074457,3.766968520723056,3.961384532412932,1000,244,2.999385427336124,3.088680749532449,0.1358658410178194,2.915676562324473,3.0903191845600078,3.2710843315242437,1000,-0.6783142822913089,-0.18006774008483598
S0,264,6,min,5,46,2.8606831226591285,2.857470147805124,0.2350875632499633,2.55859241636495,2.8479792652121096,3.1710079617738587,1000,46,3.027888644612174,3.0541795903112923,0.3118819642703869,2.6441764014642146,3.0504576594896005,3.469604450792845,1000,0.1967094425061684,0.06884041908793503
S0,264,6,min,6,46,3.0358576311087297,3.0694710833027394,0.2554889994678176,2.757169207911351,3.068206233305568,3.390435044393426,1000,46,3.247198095644083,3.325066661386924,0.3407828354382851,2.861195009539789,3.32241848257794,3.7641144228871632,1000,0.25559557808418454,0.08327023488658009
S0,264,6,min,7,46,3.1539521234037355,3.233889451258503,0.2821700408626282,2.8801778889921263,3.227856114853127,3.5955274398028187,1000,46,3.4088502997538908,3.52551999312707,0.375708524580165,3.0394667728168563,3.521277035605768,4.019002901081866,1000,0.29163054186856696,0.09017950250435301
S0,264,6,min,8,46,3.268986668885408,3.3778264850444546,0.306261243092332,3.004330219470462,3.3635475106767423,3.774079215701004,1000,46,3.553331674258835,3.730228324879744,0.4175514496975266,3.1821816883727254,3.731458101413331,4.256002475927375,1000,0.3524018398352893,0.10432798765584059
S0,264,6,min,9,46,3.366865933261988,3.493044434624478,0.3142560268262457,3.081687428371997,3.4769493751325613,3.8987195108890416,1000,46,3.685459656940928,3.881188017960418,0.4525918417282888,3.303911606855537,3.870789663160652,4.502212511896586,1000,0.3881435833359399,0.1111189939321993
